Wavelength (nm)	CHL096_7-CH2OH Chl a, CHCl3 (Porra, 1993).abs
400.41	0.57646
401.69	0.61523
403.81	0.66768
406.42	0.73936
407.98	0.77780
409.68	0.80256
410.88	0.81527
412.01	0.82048
413.49	0.81722
414.84	0.80452
416.82	0.78367
418.44	0.76770
419.65	0.75793
420.92	0.75565
421.91	0.75988
423.32	0.77780
425.80	0.83156
428.20	0.89476
430.11	0.94494
430.95	0.97100
431.81	0.98762
432.80	0.99674
434.00	1.00000
434.94	0.99316
436.24	0.96872
438.03	0.89020
440.29	0.77357
442.84	0.64194
446.87	0.42463
451.54	0.19429
452.71	0.15193
453.62	0.13043
455.29	0.10697
457.12	0.088077
459.17	0.072113
462.21	0.059407
465.26	0.049633
468.79	0.044420
471.83	0.043768
475.44	0.043768
479.26	0.044420
483.36	0.044746
486.82	0.043768
490.92	0.043117
495.73	0.044094
499.41	0.040836
502.94	0.038881
505.70	0.039533
508.81	0.041488
511.93	0.042465
515.53	0.046049
519.14	0.048329
523.10	0.050610
526.85	0.051913
530.38	0.053216
534.84	0.054520
538.37	0.051913
541.69	0.048655
544.31	0.047352
548.06	0.044094
551.74	0.046375
556.05	0.051913
559.94	0.056800
563.76	0.064620
567.22	0.073090
570.40	0.081235
573.80	0.086448
576.41	0.088077
579.38	0.088729
582.99	0.089055
586.38	0.089706
589.50	0.091335
592.39	0.096222
594.66	0.10469
596.78	0.11186
599.40	0.12326
601.38	0.13304
604.42	0.14249
606.89	0.14770
609.29	0.15128
612.05	0.15193
615.09	0.15161
618.20	0.15259
620.82	0.15259
623.86	0.15161
626.41	0.15031
628.39	0.14737
630.86	0.14509
633.97	0.14542
636.24	0.15031
638.43	0.15878
640.55	0.16757
642.03	0.18093
643.17	0.19396
644.44	0.21579
645.29	0.24707
646.56	0.29007
648.12	0.34351
650.31	0.42626
652.36	0.49468
653.91	0.55365
654.90	0.58753
656.60	0.62761
658.01	0.64748
659.00	0.65106
660.27	0.64650
661.48	0.60089
664.45	0.45982
666.71	0.36990
668.78	0.27769
671.08	0.18289
672.53	0.14379
673.92	0.10991
675.48	0.085797
677.25	0.061362
679.23	0.041488
680.50	0.029759
682.41	0.018681
684.60	0.011188
686.87	0.0069525
689.27	0.0033687
692.03	0.0020655
694.86	0.00076225
698.11	0.00076225
