Wavelength (nm)	CHL097_7-CH2OH Chl a, Et2O (Ito, 1996).abs
401.21	0.60613
402.06	0.62215
402.86	0.63380
403.93	0.64836
405.10	0.65953
406.43	0.67166
407.98	0.67992
409.24	0.68254
410.91	0.67904
412.38	0.67322
413.78	0.67147
415.25	0.66856
417.04	0.66739
418.64	0.67729
420.11	0.69244
421.33	0.71690
422.86	0.75548
424.52	0.80603
426.12	0.85728
427.53	0.91379
428.55	0.95514
429.77	0.99359
430.60	1.00000
431.56	0.99417
432.06	0.97504
432.70	0.92942
433.60	0.85952
434.61	0.76535
436.21	0.62312
437.86	0.47459
438.87	0.39983
440.07	0.31683
441.11	0.24839
441.75	0.20858
442.57	0.16490
443.30	0.12800
443.72	0.10325
444.58	0.082861
445.38	0.066357
446.65	0.052281
447.99	0.040631
450.22	0.028496
452.35	0.019758
454.49	0.016549
456.69	0.012687
459.28	0.011992
462.90	0.010050
466.05	0.0095645
470.84	0.010050
475.53	0.011021
480.06	0.012962
483.68	0.013933
487.41	0.016034
492.31	0.017611
497.43	0.019090
503.07	0.021214
508.35	0.021700
512.50	0.021700
516.02	0.022671
518.95	0.025098
522.36	0.028496
525.56	0.031893
528.33	0.036747
530.78	0.039660
533.55	0.040033
536.05	0.037718
538.29	0.033350
540.05	0.030437
543.24	0.027806
547.40	0.028239
551.40	0.029035
554.54	0.030709
557.20	0.036262
560.29	0.042087
563.44	0.047436
566.26	0.049854
569.03	0.053251
572.39	0.056154
575.21	0.059076
578.09	0.061661
581.39	0.062883
583.73	0.061503
585.55	0.054222
587.09	0.048883
589.70	0.046941
592.05	0.047426
594.28	0.049368
596.25	0.055193
598.01	0.062474
600.09	0.070726
601.90	0.082376
603.39	0.092084
604.78	0.10131
606.22	0.10859
608.14	0.11878
610.53	0.12412
612.29	0.12703
613.94	0.12800
616.39	0.12703
618.42	0.12315
620.18	0.11830
622.15	0.11441
624.44	0.10762
626.25	0.10422
628.11	0.10131
630.03	0.10276
631.79	0.10665
633.18	0.11004
634.72	0.11393
635.95	0.12315
637.12	0.13140
638.24	0.14354
639.20	0.15567
640.15	0.17072
641.06	0.18431
642.07	0.20373
643.14	0.23188
644.20	0.25955
645.38	0.29644
646.35	0.34207
647.32	0.38527
648.87	0.45566
650.65	0.52361
652.09	0.56002
653.21	0.58283
654.27	0.59497
655.50	0.59934
656.67	0.59400
657.57	0.57652
659.01	0.53041
660.72	0.45954
662.58	0.39013
664.61	0.32168
666.47	0.25567
667.86	0.20810
669.40	0.16684
670.84	0.13189
672.71	0.096938
674.25	0.074609
675.58	0.054222
676.60	0.042087
677.71	0.032864
678.78	0.027525
680.06	0.028167
681.34	0.028368
682.51	0.024612
683.89	0.017816
685.44	0.011021
686.93	0.0056812
688.69	0.0037396
690.55	0.0032542
692.37	0.0032542
699.50	0.0032542
