Wavelength (nm)	CHL101_3,7-di-CHO Chl a, MeOH (Sawicki, 2019).abs
370.50	0.20229
373.37	0.19184
375.68	0.17709
377.44	0.17217
379.59	0.17463
381.74	0.17586
384.85	0.17218
389.24	0.16726
392.51	0.16296
396.17	0.15831
400.40	0.15201
403.27	0.15128
405.66	0.14688
408.29	0.13653
411.08	0.12473
413.39	0.11686
417.22	0.10989
421.69	0.10949
424.79	0.11195
427.35	0.11502
429.66	0.12145
432.77	0.13714
435.40	0.15620
438.35	0.18631
441.40	0.21765
444.25	0.25760
447.36	0.30124
450.15	0.34303
452.50	0.37560
455.01	0.40018
458.20	0.43153
460.91	0.45611
462.90	0.47946
464.61	0.50774
466.73	0.55444
469.92	0.63004
473.43	0.73636
476.22	0.84268
478.05	0.90783
479.25	0.94101
480.84	0.98342
481.88	0.99633
483.00	1.0000
484.67	0.99571
486.58	0.96375
488.10	0.92012
490.20	0.84145
492.50	0.73329
495.91	0.57595
497.43	0.49299
499.34	0.41555
501.38	0.33873
503.41	0.26252
505.24	0.20782
507.50	0.16234
508.99	0.13653
510.50	0.11318
512.33	0.091051
514.01	0.074457
516.24	0.057971
518.63	0.041270
520.87	0.033814
523.98	0.029593
528.12	0.027585
532.59	0.026877
537.77	0.027135
543.19	0.028979
548.85	0.030208
555.39	0.035124
562.56	0.040656
568.54	0.044346
574.84	0.048031
579.94	0.049260
584.73	0.050235
588.39	0.051718
592.30	0.053025
595.73	0.054791
599.56	0.059708
603.62	0.065239
607.45	0.071999
611.40	0.082447
613.67	0.086749
617.02	0.090436
620.68	0.091721
624.75	0.089207
627.94	0.084905
630.49	0.079374
633.04	0.076251
636.07	0.076916
640.51	0.079585
643.43	0.085622
647.35	0.10099
650.08	0.11430
653.51	0.13172
655.26	0.14401
657.78	0.16603
661.90	0.21468
664.56	0.25207
667.48	0.28485
669.94	0.30892
671.34	0.32082
672.47	0.32567
674.00	0.32787
675.65	0.32528
677.38	0.31506
679.04	0.29765
681.63	0.26385
685.95	0.20137
689.08	0.15630
692.07	0.11533
694.46	0.088695
697.65	0.060527
700.45	0.039017
702.83	0.025189
704.89	0.017506
707.55	0.012141
710.00	0.0082878
713.86	0.0048624
717.98	0.0026542
723.56	0.0013541
729.07	0.0011177
735.52	0.0011177
740.00	0.0011177
