Wavelength (nm)	CHL116_PyroPhebide a ME, DCM (Xu, 2014).abs
300.10	0.11714
302.54	0.12699
305.81	0.13715
309.81	0.15592
313.08	0.16884
315.70	0.17900
317.95	0.18761
320.57	0.19377
322.09	0.19562
323.91	0.19285
325.80	0.18608
327.40	0.17961
329.87	0.17377
332.05	0.17284
334.59	0.17654
336.99	0.18084
339.68	0.18700
342.44	0.19900
345.20	0.21531
348.55	0.23531
351.60	0.25839
355.89	0.29255
359.01	0.32363
361.99	0.35748
365.63	0.39779
368.32	0.43195
371.80	0.47164
374.93	0.50180
377.18	0.52273
379.22	0.53934
381.25	0.55565
383.50	0.58120
385.83	0.60735
387.79	0.64151
389.97	0.67505
392.59	0.72429
394.99	0.76060
396.37	0.77906
397.60	0.79260
399.35	0.80583
401.09	0.81753
402.65	0.82614
404.30	0.83876
405.35	0.85292
406.54	0.86953
407.49	0.89046
408.87	0.92339
410.18	0.95416
411.63	0.98678
412.35	0.99542
413.01	0.99816
414.00	1.0000
414.85	0.99662
415.63	0.98709
417.05	0.95047
419.48	0.86738
421.01	0.78429
422.46	0.69475
423.85	0.60704
425.37	0.51165
426.97	0.42487
428.57	0.34055
430.60	0.25008
432.20	0.19038
434.31	0.13899
435.91	0.11007
437.72	0.083295
439.32	0.066986
440.99	0.053754
443.17	0.041444
445.50	0.034367
447.90	0.029443
450.95	0.025750
453.93	0.024252
457.06	0.023413
461.05	0.024212
464.83	0.027905
468.90	0.032213
472.61	0.036213
475.59	0.037752
479.08	0.036213
481.69	0.034675
484.16	0.032213
486.13	0.030059
488.38	0.030674
489.76	0.035598
491.65	0.040521
493.54	0.046984
495.14	0.054061
496.81	0.061139
499.06	0.071602
501.61	0.082064
504.08	0.091911
505.97	0.098066
508.22	0.099297
510.04	0.098066
512.29	0.091911
514.25	0.082680
516.29	0.071909
517.96	0.062370
519.78	0.054061
521.74	0.047291
523.85	0.042983
525.81	0.041752
528.57	0.042675
530.10	0.048214
532.13	0.057138
533.66	0.066370
535.48	0.077141
537.00	0.085449
538.82	0.088527
540.56	0.084834
542.02	0.077756
543.47	0.067909
544.71	0.057138
546.52	0.047291
548.70	0.038367
550.81	0.034367
553.86	0.031905
557.35	0.030674
560.55	0.029443
564.18	0.025135
567.16	0.021750
570.65	0.018981
574.36	0.017442
578.36	0.016211
581.84	0.015288
584.68	0.015596
587.73	0.018057
590.78	0.021750
593.33	0.026674
595.36	0.032213
597.54	0.039598
599.58	0.048214
601.10	0.054369
602.63	0.059908
604.52	0.066063
607.06	0.073756
609.17	0.075602
611.06	0.074371
613.50	0.070678
615.50	0.066678
618.18	0.059908
620.15	0.054061
622.00	0.049138
624.00	0.043599
626.25	0.040214
628.72	0.036829
631.19	0.035598
633.66	0.036213
636.35	0.038367
638.75	0.040829
641.15	0.044214
643.25	0.049445
645.15	0.055600
646.67	0.064524
648.56	0.076833
650.45	0.093450
652.56	0.12053
654.45	0.15900
656.56	0.19931
658.08	0.23931
659.68	0.28270
661.21	0.32794
662.74	0.37102
663.95	0.40087
665.25	0.42733
666.00	0.43718
667.00	0.44026
668.19	0.43780
669.50	0.42395
670.95	0.39225
673.71	0.32086
676.18	0.25162
678.22	0.18361
679.55	0.14269
681.56	0.10176
683.09	0.077448
684.54	0.055600
686.43	0.040521
688.39	0.027905
690.50	0.018057
692.53	0.011903
695.66	0.0069792
699.00	0.0041544
702.20	0.0029788
705.69	0.0021748
709.11	0.0017479
712.00	0.0016050
714.50	0.0016050
