Wavelength (nm)	CHL117_PyroPhebide a ME, DCM (Tamiaki, 2016).abs
300.42	0.11594
304.45	0.13132
308.78	0.14757
313.31	0.16601
317.94	0.18490
320.26	0.19192
321.87	0.19368
324.59	0.18973
327.61	0.18226
329.92	0.17436
331.63	0.17040
333.24	0.16909
335.36	0.17216
336.97	0.17567
340.29	0.18753
346.03	0.21432
351.57	0.25033
358.72	0.31182
363.35	0.36145
369.49	0.43787
372.61	0.47388
375.23	0.50286
378.15	0.52307
380.97	0.54722
383.68	0.57269
387.51	0.62144
391.74	0.70401
394.56	0.75320
396.27	0.77779
398.18	0.79448
400.30	0.80810
402.41	0.81952
404.12	0.83225
406.03	0.86036
408.45	0.90999
410.36	0.94468
411.67	0.97455
412.38	0.98816
413.08	0.99782
414.00	1.0000
414.99	0.99738
415.90	0.98684
417.61	0.94512
420.43	0.83006
424.46	0.58411
426.98	0.43699
429.33	0.31533
431.40	0.23408
434.12	0.15064
435.23	0.12429
436.34	0.10716
438.05	0.084762
439.56	0.068513
441.37	0.053141
443.39	0.043040
445.60	0.035574
448.42	0.029425
452.35	0.026351
457.18	0.023716
462.31	0.026351
467.25	0.030743
471.47	0.033817
475.50	0.035135
479.13	0.036452
482.55	0.036452
485.87	0.035574
488.99	0.037331
491.71	0.041283
494.93	0.050067
498.15	0.064999
500.67	0.078614
502.48	0.086958
504.40	0.093522
506.61	0.097938
508.93	0.099255
511.54	0.095303
513.76	0.085641
516.28	0.072904
519.30	0.057533
521.41	0.050945
524.03	0.042162
526.75	0.039526
529.47	0.044357
531.58	0.049628
533.29	0.061046
535.71	0.074222
537.82	0.085201
539.13	0.087837
541.04	0.084323
543.26	0.071587
545.78	0.055776
547.99	0.042162
550.41	0.032060
553.33	0.028108
557.05	0.027669
560.88	0.028299
564.40	0.026811
567.42	0.023277
571.25	0.020642
575.47	0.019324
578.90	0.018446
583.33	0.017128
586.85	0.017128
590.27	0.020202
593.29	0.025033
596.72	0.032939
599.23	0.043040
601.85	0.053580
605.88	0.067634
608.40	0.073783
610.81	0.075539
614.03	0.072211
616.95	0.065438
619.67	0.056215
622.69	0.047871
625.91	0.042601
629.74	0.038648
633.16	0.038209
636.28	0.039087
640.11	0.041283
643.23	0.046553
645.35	0.054898
647.56	0.066756
649.78	0.082127
651.99	0.10716
654.61	0.14757
657.43	0.21169
660.45	0.29381
663.18	0.36804
664.28	0.39614
665.48	0.41810
666.79	0.43260
668.00	0.43699
669.31	0.43260
670.65	0.41766
672.93	0.36584
676.05	0.27229
679.07	0.17611
680.88	0.13219
682.71	0.097059
684.61	0.066756
686.42	0.047432
688.13	0.032939
690.35	0.021081
692.56	0.014054
695.48	0.0091054
698.40	0.0060703
701.42	0.0039526
704.24	0.0026351
707.26	0.0017567
710.99	0.0013175
715.64	0.0013175
719.95	0.0013175
