Wavelength (nm)	CHL117_PyroPhebide a ME, DCM (Tamiaki, 2016).ems
620.29	0.0014772
623.40	0.0018199
626.23	0.0025054
629.18	0.0028479
631.81	0.0035334
635.13	0.0038762
638.32	0.0055896
641.81	0.0079884
644.43	0.011415
647.34	0.018406
649.70	0.028276
651.62	0.041435
653.15	0.054595
654.48	0.074333
655.71	0.095717
656.89	0.12204
657.97	0.15617
659.69	0.22238
661.27	0.30092
663.04	0.40085
665.20	0.55465
667.37	0.70516
669.04	0.81619
670.56	0.90543
671.25	0.94203
672.09	0.96752
673.12	0.99220
674.00	1.0000
675.04	0.99837
676.07	0.98562
677.06	0.95807
677.99	0.91160
680.06	0.80591
682.03	0.68789
685.03	0.50900
687.04	0.40825
688.62	0.34533
691.03	0.27501
692.95	0.22854
695.56	0.19071
696.79	0.17796
698.61	0.16727
700.62	0.15740
702.84	0.15206
705.00	0.14753
707.56	0.14671
709.82	0.14959
712.53	0.15206
715.97	0.15658
718.24	0.15905
720.45	0.16028
722.61	0.15864
725.12	0.15535
727.78	0.14835
730.49	0.13561
734.67	0.11587
738.60	0.097362
743.08	0.079680
747.85	0.066109
754.84	0.049248
761.18	0.034033
766.10	0.026220
771.81	0.019229
777.57	0.014864
782.93	0.012288
788.73	0.010593
795.18	0.0094000
800.00	0.0089479
804.92	0.0087524
809.20	0.0086429
813.09	0.0085368
816.58	0.0084948
819.33	0.0084948
