Wavelength (nm)	CHL120_3-Et-7-vinyl PyroPhebide a ME, DCM (Tamiaki, 2016).ems
620.74	0.0012428
623.65	0.0016550
626.84	0.0033030
629.80	0.0053632
632.80	0.0092715
635.31	0.015252
637.18	0.022256
638.75	0.032145
640.32	0.042446
641.65	0.055631
642.93	0.072524
644.16	0.095185
645.93	0.13433
647.02	0.17265
648.69	0.24146
650.11	0.33128
652.08	0.48167
653.71	0.63577
654.84	0.74248
655.87	0.81953
656.71	0.88505
657.54	0.93902
658.25	0.96951
659.22	0.99547
660.00	1.0000
660.69	0.99547
661.53	0.97610
662.81	0.91760
664.58	0.80594
666.50	0.68109
668.81	0.54924
671.27	0.43676
673.58	0.35641
675.60	0.29914
677.52	0.25588
679.98	0.21138
682.44	0.18171
685.34	0.15987
688.29	0.14916
691.00	0.14339
694.00	0.13886
696.95	0.13968
699.56	0.14133
702.36	0.14751
704.77	0.15369
707.04	0.15727
709.30	0.16029
711.41	0.15823
713.23	0.15163
716.19	0.13845
720.07	0.11950
724.40	0.098894
728.80	0.083237
732.20	0.073760
736.80	0.060575
741.33	0.047390
745.95	0.034617
749.10	0.028849
751.85	0.023904
755.00	0.019784
757.95	0.017312
761.69	0.015761
765.53	0.014428
769.86	0.013260
774.19	0.011956
778.57	0.010172
783.54	0.0086595
789.39	0.0074234
793.47	0.0062599
796.62	0.0057660
799.85	0.0053632
