Wavelength (nm)	CHL122_3-Et-12-vinyl PyroPhebide a ME, DCM (Tamiaki, 2016).abs
300.50	0.19679
304.00	0.22251
306.77	0.24679
309.31	0.26036
311.88	0.26846
315.00	0.27382
317.01	0.28275
319.12	0.29941
321.23	0.32144
322.84	0.33751
323.64	0.34465
324.75	0.34882
326.46	0.34287
328.97	0.31548
330.88	0.29406
332.89	0.27560
335.10	0.26370
337.52	0.26132
339.73	0.26548
342.54	0.27620
345.66	0.29287
349.68	0.32263
354.91	0.36132
359.94	0.40239
364.86	0.44168
372.00	0.51311
376.83	0.56787
383.46	0.65299
385.35	0.68395
389.49	0.76966
392.81	0.86133
394.92	0.92026
396.65	0.95479
398.04	0.98038
399.65	0.99527
401.00	1.0000
402.36	0.99467
403.67	0.98336
405.68	0.94824
407.59	0.90776
409.00	0.88336
410.31	0.87168
411.81	0.86550
413.52	0.86907
414.83	0.88157
416.54	0.89824
418.05	0.91253
419.15	0.91669
420.66	0.91193
421.57	0.89467
423.05	0.83276
427.70	0.59347
430.01	0.47978
431.90	0.39049
433.45	0.33037
435.09	0.28632
437.25	0.23691
439.96	0.18631
442.88	0.13453
445.29	0.094645
446.90	0.074407
448.91	0.057144
451.12	0.042858
455.35	0.030358
460.98	0.027977
466.00	0.030358
470.93	0.032739
474.65	0.039287
478.47	0.044049
482.39	0.046430
486.71	0.046430
491.54	0.046430
495.26	0.046430
498.98	0.048811
502.30	0.054763
505.71	0.066073
508.93	0.076788
511.75	0.085121
513.66	0.090479
515.47	0.094645
517.68	0.097622
519.89	0.096431
522.50	0.090479
526.02	0.079764
530.14	0.070835
532.96	0.068454
535.47	0.069050
537.89	0.072026
540.20	0.081550
542.91	0.095836
545.53	0.11786
547.14	0.13036
548.95	0.14524
550.75	0.15655
552.56	0.16131
554.78	0.15596
557.89	0.13988
562.12	0.12024
567.85	0.094050
573.98	0.069050
579.51	0.048811
582.22	0.039882
585.74	0.036906
588.66	0.036311
591.27	0.038096
594.19	0.044049
597.50	0.053573
600.42	0.066669
603.13	0.088693
606.35	0.11607
608.87	0.13453
611.68	0.14405
614.49	0.14822
617.41	0.14346
620.23	0.13036
623.00	0.11131
625.55	0.094050
628.67	0.076193
632.39	0.065478
635.71	0.060121
639.33	0.060716
642.95	0.064288
646.36	0.069645
649.18	0.082145
651.49	0.097622
653.80	0.11965
655.92	0.15060
658.03	0.18989
660.34	0.24644
662.55	0.32382
664.36	0.40120
666.67	0.49287
667.78	0.53216
668.88	0.56847
669.89	0.58811
671.00	0.59168
672.05	0.58752
673.01	0.57144
675.22	0.48335
678.34	0.33810
680.75	0.23274
683.35	0.15239
684.77	0.11727
686.58	0.085121
688.29	0.063692
690.50	0.044644
693.01	0.030953
695.33	0.020019
698.14	0.013691
701.36	0.0077383
704.37	0.0054953
708.40	0.0035715
712.01	0.0029763
715.43	0.0026476
718.85	0.0023810
