Wavelength (nm)	CHL124_3-CHO PyroPhebide a ME, DCM (Xu, 2014).abs
301.90	0.28835
305.83	0.29403
308.59	0.29176
310.84	0.28608
313.10	0.27699
315.06	0.26961
317.60	0.26506
319.57	0.26790
322.76	0.27586
325.31	0.28381
327.34	0.28778
329.81	0.28437
332.07	0.27813
334.46	0.27074
336.57	0.26450
338.68	0.26336
341.08	0.26790
343.26	0.27699
346.09	0.28892
349.22	0.30993
352.05	0.33265
354.89	0.35935
358.01	0.39002
362.01	0.43262
366.01	0.48203
369.86	0.53428
373.49	0.59279
375.75	0.63993
377.62	0.68310
379.23	0.72115
380.76	0.75693
382.43	0.79669
383.81	0.82679
385.85	0.84667
387.01	0.85065
388.54	0.84610
389.63	0.83531
390.94	0.81487
392.75	0.78192
394.42	0.74784
395.73	0.72626
397.33	0.70865
399.15	0.70411
401.04	0.71036
402.93	0.72740
405.54	0.75693
407.94	0.79101
410.34	0.81771
412.81	0.84270
415.57	0.86826
417.83	0.89211
419.57	0.90972
421.03	0.92619
422.04	0.94323
423.70	0.96481
425.10	0.98299
426.45	0.99548
428.00	1.0000
429.75	0.99605
431.13	0.98128
432.65	0.95345
434.69	0.90858
437.09	0.83872
439.34	0.74955
442.10	0.64731
444.43	0.56212
446.90	0.46783
450.31	0.34515
452.42	0.28040
454.82	0.21338
456.86	0.16737
458.75	0.13727
460.78	0.10717
462.96	0.084447
465.43	0.067976
467.98	0.055480
471.32	0.050368
475.39	0.050368
479.24	0.051504
483.60	0.052072
488.11	0.051504
492.03	0.049800
496.10	0.049232
499.15	0.049800
502.21	0.055480
505.19	0.064568
507.73	0.077063
510.49	0.094670
512.82	0.10944
515.22	0.12307
517.40	0.13556
519.14	0.14408
521.10	0.14636
523.07	0.14522
524.37	0.13954
525.46	0.13272
527.06	0.11966
528.95	0.10489
530.77	0.088423
532.51	0.075359
535.06	0.065136
537.38	0.058320
539.20	0.057184
541.16	0.060592
542.83	0.069111
544.51	0.081607
546.32	0.095806
548.58	0.11966
550.10	0.13443
551.56	0.14920
552.86	0.16056
554.32	0.16340
555.92	0.16112
557.66	0.14295
559.40	0.12591
561.12	0.10546
563.40	0.080471
565.51	0.064000
567.55	0.050936
570.02	0.038730
573.65	0.032193
579.39	0.030489
582.44	0.028722
584.92	0.027081
588.77	0.021969
593.13	0.017263
597.13	0.016157
601.20	0.015722
605.92	0.016858
610.43	0.021401
614.06	0.027649
617.69	0.037305
620.24	0.045824
623.07	0.057752
625.62	0.067976
628.52	0.078199
631.79	0.082175
634.77	0.081039
637.61	0.078767
640.44	0.074791
643.71	0.071383
647.71	0.068544
651.71	0.067976
655.20	0.070247
658.32	0.072642
661.59	0.076495
664.72	0.081607
667.55	0.084447
670.09	0.091831
672.28	0.10717
674.02	0.12648
675.33	0.14806
677.00	0.18100
679.11	0.23439
680.85	0.29460
682.89	0.37468
684.78	0.46613
686.85	0.56666
688.85	0.65924
690.01	0.71263
691.00	0.75296
692.04	0.78703
692.92	0.80578
694.00	0.81515
695.05	0.80578
696.19	0.78874
697.49	0.75182
698.95	0.69218
700.47	0.62005
702.15	0.51838
704.18	0.41785
706.51	0.30766
708.32	0.22985
710.14	0.17021
711.55	0.12705
712.98	0.098078
714.36	0.074791
715.96	0.053208
717.48	0.039009
719.15	0.028217
721.04	0.019697
723.30	0.011178
725.33	0.0072020
727.80	0.0049300
731.00	0.0032493
733.98	0.0025436
736.80	0.0021300
739.80	0.0020123
