Wavelength (nm)	CHL125_3-CHO PyroPhebide a ME, DCM (Tamiaki, 2016).abs
300.40	0.29891
306.06	0.29980
308.83	0.29353
311.38	0.28366
313.66	0.27291
316.15	0.26215
318.57	0.25587
320.57	0.25856
322.58	0.26573
324.72	0.27022
326.65	0.27560
328.72	0.28008
331.21	0.27649
333.28	0.26932
335.63	0.26125
338.67	0.25766
341.57	0.25946
344.41	0.26753
346.55	0.27739
349.66	0.30070
352.14	0.31863
355.25	0.34284
359.19	0.38228
363.70	0.43339
368.52	0.48987
371.76	0.53559
375.63	0.60104
378.88	0.67187
381.77	0.74000
383.94	0.78662
385.16	0.81172
386.61	0.83235
387.50	0.83772
388.89	0.83145
390.14	0.81531
392.00	0.78841
393.94	0.74986
395.73	0.72028
396.77	0.69966
398.36	0.68352
399.67	0.68083
401.19	0.68621
403.89	0.71400
407.75	0.75435
413.14	0.82069
419.01	0.88883
422.61	0.93634
425.85	0.97758
427.24	0.99372
429.00	1.00000
430.83	0.99193
432.28	0.97310
433.87	0.94262
436.35	0.87359
440.36	0.72835
444.92	0.56159
448.72	0.41904
451.41	0.32759
454.32	0.24332
456.60	0.18146
458.74	0.14291
461.29	0.10525
463.64	0.083737
465.99	0.065806
468.82	0.055047
471.38	0.049668
475.73	0.049668
480.29	0.050565
485.33	0.049668
490.86	0.049668
497.22	0.047698
501.22	0.051461
504.33	0.057737
507.79	0.073875
510.89	0.091805
513.31	0.10525
515.87	0.12229
518.49	0.13663
520.50	0.14560
522.22	0.14829
524.09	0.14353
526.37	0.13036
528.72	0.10974
531.99	0.081944
534.17	0.067599
536.25	0.057737
537.77	0.054151
539.43	0.054151
542.05	0.056840
544.40	0.072978
546.40	0.087323
548.34	0.10794
550.06	0.12498
551.65	0.14380
553.33	0.15725
554.97	0.16174
556.58	0.15755
558.34	0.14291
560.36	0.12318
562.50	0.096288
564.85	0.070289
567.33	0.052358
569.96	0.039806
572.93	0.033263
576.94	0.029944
580.53	0.028151
585.02	0.025462
589.93	0.020979
595.31	0.018289
600.08	0.016496
604.71	0.016496
608.92	0.017393
612.71	0.020082
616.26	0.029048
618.12	0.034427
621.29	0.046979
624.16	0.060427
626.33	0.068495
628.33	0.075668
630.25	0.080150
632.76	0.085530
635.24	0.087182
637.73	0.085530
639.35	0.080240
641.61	0.074771
644.91	0.069392
649.54	0.064909
654.52	0.063512
659.70	0.064909
663.57	0.066702
666.95	0.069392
669.09	0.075668
671.17	0.085530
673.17	0.10077
675.31	0.12767
677.18	0.15905
679.66	0.22001
682.53	0.31415
685.33	0.43518
687.95	0.57325
690.24	0.68173
692.65	0.77766
694.03	0.80814
695.00	0.81352
696.03	0.80724
697.23	0.78662
698.52	0.74717
700.73	0.65304
703.29	0.51407
705.50	0.39663
707.99	0.27470
709.64	0.20925
711.58	0.15098
713.58	0.10256
715.52	0.069392
717.17	0.049668
719.25	0.036220
721.25	0.024565
722.98	0.017393
724.84	0.011117
726.71	0.0075309
728.85	0.0048413
731.06	0.0039448
