Wavelength (nm)	CHL127_3-Et-8-CHO PyroPhebide a ME, DCM (Tamiaki, 2016).ems
619.94	0.0015288
623.72	0.0023487
628.69	0.0031684
632.43	0.0039881
635.97	0.0057267
639.02	0.010136
641.48	0.017924
643.35	0.026532
644.78	0.036369
645.86	0.047026
647.09	0.060962
648.22	0.077767
649.26	0.099081
650.39	0.13310
651.67	0.18762
653.04	0.27697
654.52	0.40239
656.29	0.58971
657.72	0.73604
658.85	0.85204
659.40	0.90737
660.00	0.95451
660.90	0.98744
661.41	0.99673
662.00	1.0000
662.80	0.99459
663.25	0.97820
663.87	0.93606
665.00	0.83195
666.82	0.65734
668.94	0.48929
670.12	0.40690
671.25	0.34214
672.67	0.28107
674.25	0.22205
675.92	0.18188
677.25	0.15155
679.46	0.11917
681.23	0.098261
683.05	0.081046
684.97	0.069160
687.48	0.063011
690.29	0.061055
693.24	0.061782
696.63	0.062342
700.57	0.061782
705.54	0.061782
709.67	0.063421
712.38	0.067520
714.74	0.068475
717.20	0.067110
719.61	0.065061
722.46	0.062601
725.56	0.060142
728.76	0.059322
731.71	0.060552
734.02	0.061372
736.28	0.061372
738.01	0.059322
740.17	0.052764
742.34	0.045796
744.50	0.039648
747.11	0.031450
749.27	0.026532
751.73	0.020793
754.14	0.017514
757.10	0.015055
760.29	0.012186
763.29	0.011078
766.20	0.010546
769.64	0.0097265
772.94	0.0095632
776.63	0.0092532
780.17	0.0090273
782.68	0.0087907
785.53	0.0084579
788.38	0.0081497
791.73	0.0076772
795.47	0.0076000
799.55	0.0076000
