Wavelength (nm)	CHL130_Zn 2-CHO-3-Et PyroPhebide a ME, DCM (Xu, 2014).abs
300.28	0.21172
305.64	0.19943
310.50	0.18590
314.52	0.17483
318.76	0.16192
321.96	0.15392
325.47	0.15024
329.70	0.15700
334.14	0.16868
337.86	0.17913
342.19	0.19512
347.15	0.21603
352.11	0.24247
356.60	0.26891
360.80	0.29166
366.04	0.32671
370.38	0.36237
374.72	0.40234
378.12	0.43492
381.12	0.46382
383.18	0.47674
385.87	0.48535
388.66	0.48412
391.55	0.47920
393.82	0.47366
395.99	0.47366
398.36	0.47735
400.84	0.48780
403.42	0.50072
406.00	0.51240
408.38	0.52347
410.34	0.53208
412.82	0.54130
414.98	0.55298
417.05	0.56835
418.80	0.58926
420.56	0.61816
422.11	0.65198
423.45	0.69625
425.41	0.76512
426.65	0.80877
428.10	0.86780
429.00	0.89700
430.00	0.90716
431.30	0.89916
432.23	0.87087
433.67	0.78910
435.94	0.64644
438.01	0.49211
439.68	0.37651
441.31	0.27506
443.38	0.17913
445.24	0.11765
447.30	0.076450
449.16	0.050625
451.22	0.032179
454.32	0.021111
457.73	0.016192
461.76	0.013550
467.02	0.012312
472.39	0.011273
478.48	0.011489
485.61	0.011888
492.63	0.013273
499.54	0.014035
506.26	0.013732
512.04	0.014347
518.03	0.015577
523.91	0.017422
530.31	0.019052
536.51	0.019842
542.39	0.018651
548.38	0.018036
553.75	0.021111
559.22	0.024185
564.07	0.030334
567.89	0.040172
571.61	0.050010
575.22	0.058619
579.87	0.062923
584.93	0.062308
588.85	0.057389
592.98	0.050010
597.73	0.043247
601.04	0.041040
604.55	0.043861
607.54	0.052470
611.05	0.065382
615.59	0.078910
619.41	0.089977
623.34	0.097356
626.85	0.10043
630.77	0.096741
633.66	0.090592
637.38	0.081984
640.99	0.073376
643.27	0.068457
645.21	0.066724
647.00	0.068457
649.56	0.073376
652.45	0.085058
654.83	0.10781
656.69	0.13609
658.55	0.17176
660.61	0.23447
662.47	0.30703
664.12	0.38573
666.29	0.52962
668.00	0.67473
669.70	0.81185
670.80	0.89793
672.00	0.97356
672.85	0.99508
674.00	1.00000
675.00	0.99132
675.70	0.95388
676.82	0.85919
678.37	0.71593
680.12	0.56098
681.98	0.40971
683.43	0.30580
685.00	0.21664
686.32	0.16007
687.97	0.11334
689.31	0.084443
691.50	0.053085
693.55	0.032794
696.35	0.018651
698.92	0.010658
702.12	0.0063538
705.94	0.0038942
709.20	0.0033279
712.50	0.0030000
715.00	0.0030000
