Wavelength (nm)	CHL131_Zn 3-Et PyroPhebide a ME, DCM (Xu, 2014).abs
302.29	0.15214
305.08	0.16390
306.94	0.17519
308.90	0.18413
310.24	0.19025
311.79	0.19307
313.75	0.19072
315.41	0.17943
317.99	0.16296
320.47	0.14743
323.36	0.13567
326.76	0.12955
329.96	0.12673
333.78	0.12908
336.88	0.13661
341.73	0.15261
345.66	0.17237
350.41	0.19872
354.33	0.22083
357.53	0.24013
361.04	0.25518
364.45	0.26553
368.48	0.27636
371.68	0.28530
374.57	0.29141
378.08	0.30035
381.18	0.30835
382.72	0.32670
384.89	0.35541
386.65	0.39211
388.85	0.44104
391.40	0.49327
393.15	0.52574
395.32	0.55303
398.00	0.57420
400.38	0.58079
402.03	0.57844
403.25	0.56950
404.30	0.56432
405.95	0.56856
406.78	0.57891
407.61	0.59585
408.85	0.63537
411.53	0.73795
413.18	0.80523
414.83	0.87063
416.49	0.92804
417.50	0.95862
418.95	0.98921
420.00	1.0000
421.13	0.99156
421.85	0.96427
423.12	0.86922
424.33	0.75065
425.57	0.61326
426.65	0.48951
427.64	0.37423
428.98	0.24389
430.42	0.14696
432.28	0.092851
433.52	0.062267
434.66	0.043916
436.31	0.030741
438.48	0.020860
440.54	0.014743
443.95	0.010979
448.91	0.0058032
453.14	0.0039211
458.40	0.0034505
465.43	0.0038413
472.24	0.0062737
478.33	0.0095674
484.53	0.010979
489.17	0.011920
493.92	0.012861
499.29	0.014743
503.94	0.017566
507.86	0.021801
512.09	0.026977
515.50	0.029330
518.91	0.028389
522.73	0.024154
526.24	0.019449
529.75	0.016625
534.40	0.016625
537.60	0.017566
541.30	0.022742
544.50	0.027447
549.06	0.034505
553.60	0.042034
557.10	0.045328
560.83	0.044857
564.13	0.040152
568.36	0.033564
571.15	0.028389
574.97	0.027447
578.28	0.032153
580.55	0.041563
583.54	0.057561
585.71	0.068383
587.98	0.076382
591.08	0.086264
593.97	0.092380
596.03	0.094263
598.82	0.091910
601.40	0.084852
603.78	0.077324
606.88	0.065090
609.15	0.058973
611.52	0.053797
614.31	0.050033
617.20	0.047680
619.57	0.050033
622.05	0.060384
624.22	0.076382
626.60	0.098027
628.76	0.12673
630.83	0.15778
632.69	0.22036
633.93	0.30271
635.68	0.43257
636.95	0.54221
637.75	0.60290
638.47	0.66313
639.50	0.73324
640.30	0.76053
641.00	0.76618
641.80	0.76100
642.55	0.73889
643.84	0.64713
645.18	0.52950
646.73	0.40716
647.97	0.30976
649.10	0.22554
650.34	0.17237
651.38	0.13190
652.61	0.10320
654.16	0.074500
655.92	0.054268
658.19	0.038740
660.05	0.030271
662.45	0.021331
665.83	0.013332
668.93	0.0086264
673.16	0.0048032
677.81	0.0027850
681.94	0.0018204
687.41	0.0010627
692.78	0.00094157
697.01	0.00086274
699.80	0.00086211
705.00	0.00086220
