Wavelength (nm)	CHL136_Zn Phe a, Ace (Karcz, 2014).abs
337.18	0.23091
338.98	0.22954
341.73	0.23136
344.36	0.23683
348.91	0.25503
354.41	0.28688
359.67	0.32056
363.38	0.34286
368.16	0.36880
372.47	0.38973
375.58	0.40566
378.45	0.42113
380.84	0.43706
383.60	0.46346
386.94	0.49759
390.05	0.54128
392.45	0.58451
395.80	0.66051
399.15	0.72741
402.38	0.79112
405.37	0.85119
407.52	0.89285
410.41	0.93720
413.62	0.98134
415.29	0.99591
416.85	1.0000
418.05	0.99454
419.36	0.97725
420.92	0.93857
422.83	0.87485
424.43	0.80932
427.02	0.71557
429.41	0.61409
431.68	0.51215
434.07	0.40020
436.71	0.28871
439.43	0.19223
441.25	0.14444
442.93	0.11441
444.60	0.088923
446.63	0.069355
448.55	0.052972
451.42	0.040684
454.53	0.029762
458.48	0.022481
463.62	0.016565
469.00	0.014289
474.27	0.015655
480.01	0.016565
486.23	0.016110
492.81	0.016565
497.35	0.017475
502.38	0.022026
507.40	0.029762
512.43	0.037044
516.61	0.040684
519.84	0.039774
523.79	0.034768
527.26	0.030217
531.57	0.026122
534.44	0.023846
537.55	0.023391
541.25	0.024756
545.08	0.029307
548.55	0.037044
551.42	0.042505
553.58	0.047511
556.69	0.052972
560.03	0.055247
563.15	0.053882
566.26	0.051151
569.37	0.047511
572.60	0.043870
575.59	0.041594
578.70	0.040684
582.28	0.042960
585.75	0.050241
589.10	0.059343
592.57	0.073905
595.92	0.086193
599.03	0.096205
602.38	0.10531
605.97	0.10804
609.20	0.10622
612.19	0.10258
615.18	0.096660
618.05	0.091654
620.44	0.088923
622.96	0.088923
626.07	0.095294
628.58	0.10485
630.44	0.11805
632.29	0.13489
633.96	0.15855
636.35	0.19860
638.74	0.25048
641.38	0.31601
643.88	0.39656
646.40	0.46846
649.03	0.53081
650.71	0.56813
651.90	0.58497
653.22	0.58906
654.65	0.58406
656.23	0.56699
657.05	0.55265
658.60	0.51261
660.64	0.44571
662.67	0.37790
664.70	0.30008
667.81	0.20861
670.68	0.14399
672.60	0.11031
673.91	0.089833
675.95	0.070720
678.34	0.054337
680.73	0.041139
683.36	0.031583
686.95	0.022026
690.88	0.012014
694.97	0.0070532
699.51	0.0045099
703.70	0.0033674
708.01	0.0024572
712.67	0.0017299
720.00	0.0014059
