Wavelength (nm)	CHL137_Zn Phe a, C6H6 (Kobayashi, 2006).ems
612.89	0.0029671
616.53	0.0035540
620.06	0.0053147
623.49	0.0088360
626.15	0.013531
629.57	0.022335
632.40	0.031725
635.28	0.042876
637.67	0.055788
639.09	0.065178
640.77	0.078676
642.95	0.10039
644.52	0.12211
646.10	0.15673
647.55	0.18862
648.86	0.22432
650.27	0.27323
651.58	0.32165
653.44	0.40822
655.66	0.54516
656.84	0.63662
657.97	0.71242
659.10	0.78139
660.00	0.83323
660.92	0.87920
661.68	0.91441
662.27	0.93838
663.36	0.96870
664.27	0.98582
665.04	0.99560
666.00	1.0000
666.62	0.99609
667.57	0.98142
668.43	0.95990
669.70	0.90855
671.06	0.82931
672.92	0.72661
675.18	0.60678
677.18	0.50457
678.67	0.43267
679.80	0.37936
680.89	0.34317
682.07	0.30942
683.56	0.27323
685.29	0.23606
687.05	0.20672
688.95	0.17982
690.59	0.16270
692.08	0.14803
694.25	0.13482
696.66	0.12455
699.06	0.11575
700.96	0.10890
703.41	0.10303
705.35	0.099120
708.39	0.094229
711.24	0.092273
713.19	0.088849
715.55	0.083959
717.95	0.079068
720.48	0.072221
723.61	0.063906
726.92	0.056081
729.23	0.049234
731.63	0.043365
734.03	0.036518
736.52	0.029671
738.42	0.024780
740.10	0.019889
741.55	0.015487
742.68	0.012064
744.04	0.0081513
