Wavelength (nm)	CHL141_Cu Phe a, Et2O (Kim, 1967).abs
303.11	0.30978
307.79	0.30848
311.47	0.30298
314.82	0.29611
319.00	0.29107
321.67	0.28786
325.02	0.28557
328.36	0.28603
332.38	0.28832
336.06	0.29198
339.07	0.29886
342.75	0.30940
345.93	0.32544
350.28	0.34468
355.13	0.36851
359.31	0.38776
364.33	0.41388
369.01	0.44092
374.36	0.47850
378.50	0.51424
381.40	0.55732
384.06	0.60314
387.74	0.67463
389.75	0.72138
391.80	0.75895
393.25	0.77728
394.94	0.78553
398.28	0.79287
400.96	0.79852
402.63	0.80478
403.85	0.82678
405.47	0.85198
407.15	0.88452
409.82	0.94318
412.50	0.99426
414.00	1.0000
416.00	0.99450
417.85	0.96701
419.80	0.90926
423.50	0.78233
428.55	0.60956
432.65	0.46108
437.40	0.29657
440.26	0.19529
441.94	0.15221
443.27	0.12563
445.62	0.10639
448.29	0.091263
452.14	0.074307
455.82	0.062851
460.00	0.053227
463.85	0.044520
468.87	0.039937
473.38	0.039021
478.73	0.040396
484.42	0.043145
489.94	0.047910
495.96	0.053227
500.98	0.056435
505.33	0.058726
510.68	0.056893
513.86	0.052769
517.04	0.046811
519.88	0.041771
524.06	0.036730
528.24	0.033260
532.59	0.034897
536.44	0.039479
539.62	0.042229
544.64	0.047728
549.65	0.050478
553.33	0.050936
556.51	0.048644
561.03	0.045437
565.54	0.043604
570.06	0.044520
573.91	0.050019
577.42	0.057352
581.27	0.067433
586.95	0.081639
591.60	0.095846
594.85	0.10455
599.83	0.11647
604.18	0.12059
608.36	0.11830
611.88	0.11601
614.72	0.11647
617.23	0.12013
619.40	0.12517
621.41	0.13526
624.09	0.14809
626.09	0.16229
628.60	0.18062
630.45	0.21087
633.80	0.29473
636.40	0.35247
639.64	0.42121
642.15	0.46246
644.66	0.49728
646.16	0.51103
648.00	0.51470
650.18	0.51057
652.60	0.48949
655.70	0.42946
660.05	0.33460
664.06	0.26082
668.08	0.17467
670.95	0.12472
673.30	0.095846
675.77	0.066975
678.61	0.047728
681.12	0.036271
683.80	0.026190
685.97	0.021149
688.98	0.015649
692.33	0.0096921
695.17	0.0055677
699.35	0.0028519
704.20	0.0019016
709.05	0.0019016
