Wavelength (nm)	CHL143_Cu Phebide a, MeOH (Inoue, 1994).abs
350.05	0.51372
351.35	0.52357
352.12	0.54023
353.00	0.55879
354.15	0.57924
355.30	0.59894
356.62	0.61560
357.77	0.63416
358.75	0.64552
359.74	0.65309
361.22	0.66143
363.25	0.66824
365.78	0.67620
367.86	0.68339
370.16	0.69400
372.91	0.71028
375.10	0.72694
377.62	0.74512
380.20	0.76822
382.72	0.79776
385.90	0.83829
388.32	0.87730
390.35	0.90949
392.10	0.93335
393.42	0.95077
394.84	0.96630
396.32	0.97828
397.86	0.98756
399.51	0.99190
401.00	0.99281
402.47	0.98864
404.44	0.97804
406.53	0.96364
409.16	0.94584
410.80	0.93335
412.45	0.92729
414.09	0.93600
415.36	0.94357
416.45	0.95266
417.71	0.96781
419.09	0.98296
420.29	0.99659
421.50	1.0000
422.65	0.99281
423.40	0.95683
424.70	0.86631
426.70	0.69172
428.24	0.56599
429.84	0.46790
431.97	0.37890
435.16	0.26263
436.78	0.21340
438.18	0.17894
439.83	0.14561
441.46	0.11683
443.22	0.092208
445.36	0.072136
447.72	0.050549
449.80	0.037673
451.83	0.030856
454.30	0.026690
457.92	0.024417
463.68	0.023660
469.71	0.019873
474.15	0.017600
477.39	0.014885
481.94	0.015328
486.98	0.019115
490.77	0.022145
494.88	0.028583
498.28	0.034643
501.41	0.037673
504.65	0.039187
507.72	0.037673
511.56	0.036158
515.29	0.032749
519.45	0.030098
523.40	0.028205
526.97	0.027447
529.33	0.030098
531.90	0.034643
534.70	0.041460
537.44	0.049034
539.91	0.056609
542.27	0.063426
544.46	0.069485
546.77	0.072894
548.69	0.074409
551.15	0.075923
553.40	0.074787
555.98	0.073651
558.83	0.072136
561.90	0.069864
564.37	0.067592
567.55	0.064940
570.57	0.064940
573.20	0.065698
575.62	0.066834
577.37	0.069106
579.51	0.074787
581.43	0.079711
583.57	0.086528
585.93	0.099783
588.50	0.11607
590.70	0.13046
592.73	0.14334
594.92	0.15659
596.90	0.16871
598.49	0.17856
600.63	0.19030
602.44	0.19749
603.70	0.20279
605.67	0.20696
606.99	0.20885
608.69	0.20772
610.22	0.20545
612.58	0.20204
615.05	0.19863
617.85	0.19711
620.43	0.19674
622.62	0.19863
624.21	0.20279
626.07	0.20923
627.45	0.21681
628.87	0.22628
630.08	0.23650
631.45	0.25089
632.82	0.26945
634.58	0.30240
636.00	0.35087
638.52	0.43154
640.88	0.52395
642.47	0.59515
644.22	0.67847
645.80	0.76936
647.03	0.83223
648.18	0.88336
649.27	0.91441
650.43	0.93259
651.52	0.94319
653.00	0.94547
654.32	0.94281
655.25	0.92842
656.51	0.89472
657.94	0.84586
659.56	0.77845
661.61	0.67051
663.64	0.54932
664.74	0.48153
666.61	0.38382
668.31	0.32209
670.01	0.26453
671.32	0.22173
673.13	0.17553
674.94	0.13917
676.87	0.10774
679.10	0.080468
681.25	0.059260
684.32	0.041460
687.56	0.025175
690.35	0.014192
692.33	0.0085111
694.03	0.0062388
695.89	0.0051026
696.90	0.0051026
699.50	0.0051026
