Wavelength (nm)	CHL146_Pt Phe a, MeOH (Drzewiecka-Matuszek, 2005).abs
353.32	0.67419
356.07	0.68641
357.03	0.69347
359.36	0.70287
361.15	0.70898
362.79	0.71227
363.75	0.72026
365.40	0.72544
367.87	0.74142
370.48	0.76446
373.09	0.79455
375.42	0.82182
378.31	0.85520
381.05	0.89234
383.60	0.92525
385.80	0.94922
387.48	0.96615
389.60	0.98496
391.35	0.99577
393.00	1.0000
394.51	0.99718
397.25	0.98684
399.86	0.97273
402.20	0.96662
405.22	0.96286
407.30	0.95628
409.33	0.94217
410.90	0.91584
413.02	0.85473
415.65	0.74894
418.55	0.61401
421.00	0.51058
422.79	0.44053
424.16	0.39116
425.81	0.34039
427.46	0.30324
428.97	0.27033
430.75	0.24965
432.54	0.22426
434.73	0.19605
436.79	0.17301
439.40	0.15045
441.87	0.13352
445.30	0.11519
449.42	0.10202
454.09	0.093089
458.21	0.085265
461.92	0.078044
464.94	0.072873
469.06	0.068171
473.59	0.066761
477.84	0.067231
482.51	0.067231
486.35	0.066291
490.61	0.061119
495.42	0.056888
500.22	0.052656
505.57	0.052186
511.07	0.055007
514.77	0.058768
519.72	0.065820
523.83	0.072402
527.54	0.075223
530.84	0.076634
533.72	0.078044
536.46	0.075223
541.00	0.078044
545.53	0.080395
549.92	0.082276
554.86	0.084626
559.94	0.091208
563.92	0.099201
567.49	0.10813
570.65	0.12271
573.26	0.13963
576.28	0.16126
579.30	0.18383
582.60	0.20874
586.40	0.23084
589.40	0.25012
592.20	0.26657
595.50	0.27960
597.56	0.28679
600.03	0.29008
602.64	0.29901
605.93	0.30983
608.13	0.32064
611.97	0.33992
613.76	0.35778
616.09	0.38364
618.15	0.41843
620.62	0.46968
623.09	0.53456
625.57	0.61260
628.27	0.71086
630.65	0.79079
632.98	0.85426
634.08	0.88058
635.18	0.89328
636.00	0.89516
636.82	0.89328
637.70	0.88340
639.38	0.84673
642.50	0.73860
645.34	0.60837
647.95	0.48519
652.34	0.32299
654.81	0.25482
656.59	0.21580
658.51	0.18289
660.44	0.15797
663.18	0.13399
666.62	0.11284
670.32	0.088858
675.25	0.064880
678.40	0.049365
681.72	0.036671
685.42	0.026798
688.44	0.020686
691.60	0.015045
695.03	0.012836
697.51	0.011284
699.98	0.0091081
702.72	0.0079925
706.02	0.0065820
710.00	0.0054611
715.63	0.0042313
720.71	0.0032910
725.92	0.0032910
729.50	0.0032910
