Wavelength (nm)	CHL148_Fe(III)Cl Phebide a ME, DCM (Andersson, 1989).abs
301.21	0.28668
304.27	0.28668
309.57	0.28319
312.80	0.27697
315.69	0.27113
318.24	0.26919
320.28	0.27551
323.34	0.28377
326.22	0.29689
329.11	0.31778
332.00	0.33868
334.89	0.36637
338.63	0.41302
341.52	0.46744
343.90	0.51020
347.30	0.55345
350.19	0.58503
353.08	0.61467
356.50	0.64480
360.39	0.68319
364.47	0.72886
367.87	0.77016
372.80	0.83042
376.20	0.87949
379.25	0.92031
382.60	0.95578
385.20	0.97765
388.43	0.99320
392.00	1.00000
396.08	0.99222
399.60	0.95918
402.20	0.90525
406.11	0.81535
410.36	0.70457
414.10	0.60155
417.67	0.51117
420.90	0.44169
426.17	0.33430
429.56	0.27016
432.79	0.22546
436.02	0.18999
438.06	0.16812
440.44	0.14528
443.50	0.12293
446.90	0.10447
450.13	0.090376
451.66	0.083991
452.68	0.081630
455.23	0.072573
459.14	0.063584
464.58	0.057510
468.83	0.054352
475.46	0.053380
481.24	0.052651
485.31	0.048521
490.24	0.041232
494.15	0.033458
499.08	0.025926
504.01	0.020824
508.94	0.017666
513.19	0.016937
517.10	0.018151
521.69	0.020338
525.94	0.021796
531.04	0.021796
537.49	0.021067
542.93	0.019609
549.05	0.018880
553.98	0.020824
558.74	0.025926
562.14	0.033215
565.54	0.040260
570.13	0.048521
574.21	0.055809
578.63	0.062126
584.41	0.066014
589.33	0.068929
592.90	0.074031
596.30	0.083992
599.19	0.098084
601.91	0.11898
605.70	0.15153
608.95	0.19891
611.75	0.24459
613.15	0.26669
615.17	0.29998
617.90	0.34590
619.80	0.37772
621.63	0.40275
622.99	0.41441
624.00	0.41635
625.20	0.41368
626.56	0.40275
628.94	0.36995
631.49	0.31286
633.19	0.27010
635.70	0.21810
637.90	0.17461
640.49	0.13550
644.06	0.093467
646.78	0.070144
649.33	0.055809
652.39	0.041718
656.13	0.030299
660.21	0.022039
664.20	0.017180
669.22	0.013292
675.17	0.011349
680.95	0.0098910
687.58	0.0074614
690.97	0.0040600
696.41	0.0057607
699.64	0.0086762
702.70	0.0084332
706.44	0.0064896
710.69	0.0064896
715.11	0.0050319
717.83	0.0026023
720.21	0.0040600
724.29	0.0052748
728.37	0.0047889
732.28	0.0060037
735.85	0.0062466
738.57	0.0067325
742.47	0.0079473
745.53	0.0096480
748.59	0.0089191
751.31	0.011349
754.54	0.010377
758.28	0.012321
762.02	0.014264
765.08	0.015236
768.65	0.016208
772.05	0.017908
775.62	0.020095
778.00	0.018637
781.06	0.018151
784.46	0.015479
787.86	0.013292
790.24	0.012806
792.96	0.010134
795.16	0.0079473
796.01	0.0050319
798.39	0.0028453
