Wavelength (nm)	CHL150_Zn Phe b, Et2O (Jones, 1968).abs
400.82	0.080587
402.45	0.087866
403.61	0.093369
404.76	0.10154
405.98	0.11094
407.07	0.12035
408.10	0.13225
408.95	0.14343
409.92	0.15781
410.78	0.16971
411.93	0.18959
412.84	0.20610
413.69	0.22261
414.54	0.24178
415.39	0.25652
415.94	0.27072
416.54	0.28403
417.21	0.29469
417.94	0.30587
418.61	0.31244
419.22	0.32007
420.07	0.32611
421.04	0.33108
422.07	0.33321
423.29	0.33285
424.50	0.33161
425.29	0.33108
426.38	0.33143
427.48	0.33321
428.57	0.33765
429.42	0.34546
430.39	0.35771
431.67	0.37670
432.76	0.39534
433.61	0.41700
434.46	0.44292
435.31	0.47594
435.92	0.50736
436.83	0.56257
437.74	0.60838
438.53	0.67761
439.68	0.74543
440.35	0.78803
441.50	0.85425
442.17	0.90112
442.78	0.94106
443.21	0.96414
443.63	0.97692
444.36	0.98864
444.91	0.99539
445.27	0.99894
446.00	1.0000
446.79	0.99840
447.21	0.99343
447.94	0.97959
448.79	0.95828
449.40	0.93201
449.76	0.90715
450.07	0.88248
450.55	0.85887
450.92	0.83135
451.34	0.80543
451.83	0.78200
452.19	0.75572
452.74	0.72359
453.23	0.69874
453.71	0.66234
454.38	0.63199
454.87	0.60838
455.59	0.57695
456.02	0.53239
456.93	0.47363
457.72	0.42322
458.27	0.38540
458.93	0.34191
459.78	0.30108
460.15	0.27960
460.88	0.25048
461.36	0.22953
461.85	0.20308
462.34	0.18267
462.88	0.16669
463.37	0.15107
463.79	0.13811
464.52	0.12426
465.01	0.11219
465.80	0.10047
466.47	0.088576
467.25	0.076682
467.86	0.068338
468.53	0.059817
469.20	0.051651
469.87	0.044905
470.59	0.037448
471.38	0.031590
472.17	0.026974
473.15	0.023069
474.24	0.019518
475.70	0.016145
476.85	0.013482
478.25	0.011529
479.77	0.0097541
481.10	0.0083339
483.59	0.0081564
485.35	0.0081564
487.54	0.0081564
489.72	0.0081564
492.52	0.0085114
494.95	0.0085114
497.26	0.0085114
499.93	0.0090440
502.48	0.0099317
504.36	0.010464
506.49	0.011352
508.49	0.012062
510.62	0.013305
512.80	0.014547
515.05	0.015968
516.81	0.017565
518.33	0.019696
519.73	0.022004
521.24	0.023779
522.88	0.025909
524.28	0.027507
526.04	0.029815
527.74	0.031590
529.50	0.033188
531.45	0.034608
533.39	0.035496
535.33	0.036916
538.01	0.038158
540.62	0.039046
543.90	0.039401
546.33	0.040111
549.00	0.040644
551.00	0.041709
552.95	0.042597
554.83	0.043662
557.74	0.044017
560.29	0.044017
562.84	0.043839
565.09	0.042952
566.79	0.041532
568.49	0.041176
570.01	0.040999
571.23	0.042952
572.62	0.045437
573.84	0.047922
575.23	0.050585
576.57	0.053781
577.85	0.056089
579.06	0.058752
580.40	0.060704
581.67	0.062480
582.95	0.064433
584.34	0.065675
585.80	0.067095
587.44	0.067806
588.90	0.067273
590.42	0.065498
591.87	0.062657
593.45	0.059817
595.03	0.057154
596.73	0.054491
598.43	0.052006
600.13	0.049875
601.59	0.048278
602.93	0.046502
604.38	0.044549
605.78	0.043662
607.42	0.042952
609.00	0.042242
610.46	0.042774
611.85	0.043484
613.37	0.045970
614.47	0.049343
615.62	0.053248
616.65	0.058574
617.56	0.064788
618.60	0.072244
619.69	0.082718
620.96	0.097275
622.12	0.11307
623.09	0.13296
624.24	0.15249
625.15	0.17450
626.25	0.19793
627.28	0.22190
628.07	0.24835
628.80	0.27391
629.34	0.28883
629.95	0.30321
630.74	0.31741
631.35	0.32753
631.90	0.33445
632.26	0.34013
632.87	0.34617
633.35	0.35007
634.00	0.35167
634.75	0.34990
635.42	0.34599
635.90	0.34049
636.45	0.33072
637.18	0.31759
637.79	0.30250
638.39	0.28350
639.00	0.26486
639.49	0.24871
640.15	0.22953
640.76	0.20734
641.31	0.19243
642.22	0.16935
642.83	0.15231
643.43	0.13775
643.98	0.12390
644.47	0.11236
645.07	0.10065
645.68	0.089996
646.35	0.079877
647.20	0.070646
647.87	0.062657
648.72	0.054669
649.57	0.046502
650.48	0.038869
651.39	0.032655
652.24	0.027152
653.21	0.022359
654.55	0.018098
655.76	0.014902
657.22	0.011884
658.80	0.0092216
660.20	0.0070912
662.08	0.0056710
663.84	0.0044283
665.54	0.0031856
667.00	0.0024755
668.70	0.0017654
670.40	0.0012328
672.77	0.0012328
674.77	0.0012328
