Wavelength (nm)	CHL155_Chl e6, DMSO (Uliana, 2014).ems
601.63	0.0037437
607.17	0.0042094
611.46	0.0042094
616.80	0.0051159
621.87	0.0060224
626.75	0.0082886
631.10	0.011915
634.33	0.014634
637.43	0.020073
639.94	0.027325
641.90	0.035937
643.56	0.045455
644.81	0.055880
646.13	0.072197
647.58	0.092593
649.23	0.12477
650.88	0.16693
652.00	0.20817
653.52	0.26891
655.89	0.37361
658.66	0.53406
660.57	0.66052
662.35	0.76295
663.93	0.83864
664.92	0.88034
666.40	0.93700
667.36	0.96601
668.22	0.98278
669.14	0.99638
670.00	1.0000
670.92	0.99592
671.91	0.98504
672.95	0.96374
674.48	0.91796
676.30	0.84499
677.65	0.77972
679.62	0.66868
681.07	0.58800
682.72	0.50007
685.10	0.39808
686.61	0.32828
688.06	0.28251
689.84	0.23310
691.62	0.19457
693.34	0.16557
695.45	0.14018
698.08	0.11752
701.38	0.099845
706.65	0.085795
713.64	0.074010
719.11	0.068118
725.18	0.060866
731.64	0.052707
737.44	0.045455
743.97	0.037297
750.30	0.027325
756.10	0.019167
761.37	0.013274
766.25	0.0091951
769.09	0.0078354
772.05	0.0064756
775.55	0.0046626
779.90	0.0030254
783.72	0.0028496
