Wavelength (nm)	CHL156_3-Et Chl e6, DMSO (Uliana, 2014).ems
600.05	0.0018533
604.63	0.0023975
610.73	0.0034858
616.11	0.0056624
620.30	0.010016
623.23	0.014369
625.99	0.020354
628.05	0.027972
630.11	0.038311
631.93	0.053003
633.29	0.068149
634.47	0.091275
635.92	0.12302
637.51	0.16474
638.82	0.21779
640.74	0.30304
642.05	0.38149
644.10	0.50392
646.08	0.64041
647.72	0.74788
648.58	0.80320
649.77	0.86397
651.35	0.93289
652.67	0.96917
653.59	0.98957
655.00	1.0000
656.29	0.99093
657.28	0.97189
658.93	0.92155
661.04	0.82905
663.28	0.70979
666.58	0.52115
668.16	0.44180
669.87	0.35972
671.66	0.29352
673.17	0.24953
675.08	0.20600
676.67	0.17834
678.51	0.15884
680.03	0.14388
681.94	0.13118
683.85	0.12347
686.36	0.11485
690.05	0.10760
693.34	0.10352
696.90	0.098077
700.33	0.092182
704.16	0.085380
707.78	0.078578
711.54	0.071323
716.55	0.061347
721.43	0.052731
726.90	0.042755
731.65	0.034139
736.20	0.025070
739.82	0.019629
743.32	0.015094
747.34	0.011560
751.69	0.0082924
755.84	0.0060251
760.19	0.0045118
763.82	0.0037421
768.37	0.0028509
774.96	0.0025269
