Wavelength (nm)	CHL160_Mg Rho g7 TME, MeOH (Porra, 1990).abs
399.74	0.24441
403.24	0.25335
406.29	0.26408
409.03	0.28017
411.47	0.29864
413.91	0.32009
416.95	0.35942
420.61	0.41305
424.88	0.48098
428.38	0.53282
431.27	0.57454
433.25	0.60731
435.84	0.65439
438.13	0.70623
440.41	0.76165
442.55	0.81647
444.68	0.87070
446.18	0.91062
447.88	0.94935
449.25	0.97676
451.08	0.99524
452.60	1.0000
454.12	0.99404
456.28	0.97378
457.78	0.94339
460.22	0.86533
463.87	0.72530
466.62	0.62221
470.12	0.49230
472.56	0.40411
475.60	0.31652
477.89	0.25812
480.00	0.21581
482.00	0.17410
484.44	0.13536
487.79	0.099611
490.84	0.076371
494.19	0.062069
497.69	0.051939
500.89	0.047184
503.94	0.044968
507.14	0.042909
510.34	0.041651
513.69	0.041193
517.65	0.041994
521.23	0.043672
525.04	0.046436
528.34	0.049772
531.51	0.053489
534.43	0.056634
537.10	0.059207
540.65	0.061209
543.83	0.061972
547.25	0.062067
550.68	0.062353
553.35	0.063306
556.01	0.065498
558.30	0.067786
560.58	0.071121
563.00	0.076650
565.41	0.082750
567.95	0.089326
569.72	0.094568
571.50	0.10000
573.02	0.10429
574.56	0.10782
576.96	0.11068
578.61	0.11153
580.26	0.11077
581.78	0.10915
583.69	0.10553
586.61	0.098190
589.27	0.090184
591.45	0.083036
593.72	0.077221
595.75	0.072265
597.27	0.069692
599.18	0.067595
601.33	0.066737
603.75	0.067786
605.14	0.069596
607.17	0.074839
609.33	0.082464
611.36	0.092853
613.39	0.10839
615.22	0.12230
616.82	0.13555
618.12	0.14356
619.49	0.15118
621.26	0.15786
622.79	0.16129
623.80	0.16205
625.07	0.16119
626.22	0.15833
627.74	0.15357
629.32	0.14613
631.41	0.13450
633.96	0.11792
636.24	0.10200
638.78	0.088468
641.20	0.075982
643.86	0.064068
646.02	0.055776
647.92	0.049676
650.34	0.043957
652.87	0.038620
656.43	0.032329
660.62	0.026801
664.30	0.022512
667.85	0.018223
671.79	0.014601
677.12	0.010122
681.44	0.0072623
686.39	0.0051654
691.47	0.0033545
696.04	0.0025920
700.73	0.0016388
704.80	0.0010670
710.13	0.0010670
714.95	0.0013529
719.90	0.0015435
723.71	0.0016388
727.39	0.0018295
731.20	0.0016388
736.41	0.0017342
739.96	0.0013529
743.77	0.0010670
747.96	0.00068572
751.13	0.00049509
