Wavelength (nm)	CHL164_Cu Chl e4, MeOH (Inoue, 1994).abs
350.85	0.25652
353.91	0.27166
357.04	0.28585
359.68	0.30571
363.64	0.33361
367.19	0.36341
369.83	0.39320
371.99	0.42489
374.35	0.46651
377.00	0.52090
379.34	0.58286
381.39	0.63488
383.89	0.68691
385.98	0.73278
387.23	0.75312
389.11	0.77014
390.15	0.77866
391.55	0.79095
393.35	0.80183
394.74	0.81271
396.00	0.82832
397.25	0.85007
398.22	0.87845
399.76	0.93047
400.73	0.96405
401.71	0.98628
402.89	0.99716
404.00	1.00000
404.97	0.99621
405.95	0.97635
407.50	0.88412
408.71	0.79710
411.41	0.63961
415.70	0.41307
418.54	0.24659
419.79	0.19220
420.83	0.15910
422.28	0.12599
424.23	0.10423
426.73	0.087208
429.79	0.069709
433.99	0.052683
437.29	0.045115
440.20	0.039440
444.24	0.033292
447.58	0.030927
451.95	0.028562
458.14	0.026160
463.00	0.024853
468.91	0.023833
474.89	0.023360
480.31	0.023360
483.99	0.026670
487.47	0.031400
489.76	0.034271
492.26	0.038494
494.14	0.040182
496.92	0.043524
498.73	0.045115
500.33	0.046534
502.48	0.047480
505.05	0.044642
507.35	0.038494
509.71	0.033765
512.63	0.028562
515.41	0.024779
518.46	0.023833
521.94	0.023478
525.83	0.023360
529.03	0.023833
533.75	0.023360
537.37	0.023360
540.70	0.022289
543.55	0.020049
546.96	0.018630
551.55	0.019576
554.53	0.020522
557.24	0.021941
559.89	0.023833
562.94	0.028089
565.17	0.035184
567.39	0.041332
569.62	0.047480
571.98	0.053156
574.21	0.059777
576.29	0.064506
579.42	0.068763
582.34	0.071600
585.54	0.073965
588.87	0.074911
592.21	0.073492
595.47	0.074911
598.11	0.075857
600.34	0.078695
602.35	0.082951
604.37	0.090518
606.11	0.098559
607.55	0.11086
609.30	0.13072
611.88	0.16099
613.69	0.19173
615.92	0.23240
618.20	0.26977
620.65	0.31280
623.29	0.34638
624.75	0.35442
626.00	0.35679
627.33	0.35348
628.85	0.33976
630.87	0.31233
634.20	0.26362
637.18	0.21301
639.96	0.16383
642.18	0.13119
644.33	0.10660
646.85	0.083424
650.10	0.065452
654.34	0.047007
657.33	0.035184
660.59	0.027143
663.65	0.020995
666.71	0.016266
669.76	0.012482
673.79	0.010590
677.90	0.010117
682.13	0.0086985
685.82	0.0063337
690.20	0.0039690
694.30	0.0034960
698.26	0.0020772
701.32	0.0020768
704.44	0.0020768
709.50	0.0020768
