Wavelength (nm)	CHL165_Cu Rho g7, MeOH (Inoue, 1994).abs
350.20	0.30310
353.51	0.31109
356.99	0.31539
360.31	0.31820
364.53	0.31724
367.76	0.31427
371.21	0.31376
373.98	0.31427
377.29	0.31580
379.70	0.31632
382.40	0.31990
385.16	0.32707
387.02	0.33783
388.68	0.35012
390.41	0.36446
392.48	0.38443
394.55	0.41055
396.49	0.44025
398.84	0.47712
401.74	0.52731
405.13	0.58160
408.72	0.64100
413.07	0.70758
418.05	0.78081
423.50	0.86838
427.12	0.91704
430.21	0.96005
432.97	0.98720
434.63	0.99693
436.00	1.0000
437.46	0.99642
438.91	0.98208
440.84	0.95545
443.32	0.90679
445.60	0.84175
449.18	0.70911
453.24	0.55650
456.48	0.44230
460.12	0.32656
463.05	0.25793
465.78	0.20365
468.40	0.17139
471.37	0.13605
474.75	0.11044
478.20	0.095080
482.13	0.081764
485.93	0.069474
490.21	0.058719
494.83	0.052573
498.14	0.047964
501.32	0.045916
504.56	0.044892
507.67	0.048476
511.05	0.050525
514.16	0.053598
517.06	0.056158
519.68	0.059743
522.79	0.063328
525.69	0.064864
529.35	0.067937
533.42	0.068961
538.80	0.068961
543.02	0.069474
545.92	0.072034
548.61	0.077155
551.99	0.084837
554.89	0.092519
557.86	0.099689
560.62	0.10635
563.11	0.11505
565.59	0.12171
567.80	0.12837
569.80	0.13195
572.01	0.13349
574.57	0.13298
577.54	0.13093
580.50	0.13042
583.33	0.12939
586.30	0.12786
589.48	0.12529
592.72	0.12427
595.48	0.12529
597.90	0.12939
599.90	0.13605
601.90	0.14527
603.56	0.15705
605.91	0.17446
608.12	0.19597
610.19	0.21953
612.50	0.24564
614.89	0.26920
617.24	0.28866
618.76	0.29942
620.55	0.30761
622.00	0.31017
623.87	0.30710
625.39	0.29839
627.25	0.28457
628.72	0.27125
631.39	0.24103
633.55	0.21184
635.87	0.18624
638.63	0.15705
642.42	0.12325
646.15	0.10020
649.88	0.080740
653.81	0.061280
657.33	0.047452
660.99	0.037722
664.92	0.029016
668.58	0.022358
672.72	0.016072
676.73	0.010579
681.28	0.0056995
684.80	0.0032898
688.81	0.0025721
693.02	0.0023854
697.43	0.0023854
699.50	0.0023854
