Wavelength (nm)	CHL167_Mg Purpurin 7 TME, Et2O (Holt, 1958).abs
380.82	0.51038
383.23	0.52510
385.89	0.54485
388.12	0.56660
391.90	0.60408
394.74	0.63588
397.14	0.67370
400.06	0.72858
402.30	0.78079
405.30	0.83735
407.28	0.87483
408.91	0.89993
411.49	0.93474
413.47	0.95683
416.30	0.98193
418.62	0.99628
420.00	1.0000
421.46	0.99683
422.92	0.98866
425.10	0.96520
426.75	0.93976
428.86	0.89625
430.85	0.82597
433.05	0.68842
434.86	0.56091
436.25	0.46017
438.21	0.34772
440.36	0.26874
442.76	0.19880
445.77	0.14357
448.26	0.10475
450.75	0.078313
453.33	0.061245
456.60	0.047189
461.23	0.034471
466.39	0.026439
471.03	0.022423
474.98	0.021419
479.53	0.021175
485.37	0.022088
490.53	0.023762
494.74	0.025826
498.43	0.025435
501.78	0.023427
506.08	0.022423
508.74	0.023092
512.52	0.026104
516.30	0.031125
520.60	0.035475
523.09	0.038153
526.10	0.039826
528.93	0.040161
533.31	0.036814
537.44	0.032129
541.47	0.028447
544.48	0.027778
547.83	0.027443
551.35	0.031459
555.39	0.040830
559.77	0.052209
563.04	0.061580
565.96	0.069947
569.05	0.076640
572.40	0.078965
576.35	0.076640
580.82	0.072959
584.69	0.068943
587.87	0.067604
591.47	0.068608
595.00	0.072289
599.46	0.077309
605.31	0.087015
611.15	0.098394
616.99	0.10944
622.23	0.11981
625.49	0.12584
628.93	0.13153
632.11	0.14023
634.34	0.14759
636.92	0.15964
639.93	0.18005
642.50	0.20415
644.82	0.22155
648.09	0.24096
652.99	0.27276
657.54	0.30489
662.35	0.34036
665.19	0.36011
666.99	0.37349
668.45	0.38019
670.00	0.38220
671.95	0.37785
674.03	0.36613
678.33	0.32028
682.11	0.26673
686.15	0.20482
688.21	0.17303
690.70	0.13989
693.02	0.11780
695.60	0.095716
699.21	0.075301
703.42	0.054886
707.54	0.040161
710.98	0.028447
714.76	0.019746
717.68	0.015060
719.48	0.012718
722.50	0.010245
724.86	0.0088520
