Wavelength (nm)	CHL169_purpurin 18 phytyl, Et2O (Gandul-Rojas, 2013).abs
350.51	0.33558
352.90	0.35720
354.84	0.37930
356.03	0.39275
358.12	0.40236
362.15	0.40765
365.73	0.39852
367.97	0.38939
370.66	0.39179
372.00	0.38218
374.09	0.38747
375.58	0.40428
378.57	0.42350
380.66	0.43839
385.88	0.49796
390.06	0.55465
392.74	0.61182
396.03	0.69398
399.46	0.79438
402.15	0.87750
404.09	0.93947
405.85	0.97983
406.77	0.99376
408.00	1.0000
409.91	0.99520
412.20	0.95388
414.23	0.87606
417.41	0.72713
420.45	0.60270
424.23	0.46818
430.20	0.25391
432.47	0.18081
435.28	0.11603
437.14	0.087925
438.88	0.064304
440.87	0.043886
443.61	0.031475
445.60	0.026271
448.58	0.019465
451.44	0.014260
455.42	0.0098562
458.28	0.0078545
462.02	0.0066534
465.87	0.0098562
468.98	0.014660
472.09	0.019865
475.94	0.024669
479.80	0.026271
483.90	0.023869
486.89	0.021466
490.37	0.019465
494.47	0.019465
497.42	0.022934
499.80	0.028606
502.08	0.037948
503.84	0.044438
505.61	0.051626
507.99	0.055296
510.37	0.055963
512.34	0.051960
514.52	0.044286
516.69	0.034278
519.70	0.023602
522.81	0.019264
525.81	0.018264
528.30	0.019932
530.69	0.028272
532.76	0.038948
534.93	0.054629
537.63	0.083654
540.01	0.11435
542.09	0.14004
543.85	0.15305
545.71	0.15939
547.37	0.15672
549.03	0.14271
551.51	0.11835
554.25	0.085990
557.01	0.057631
560.12	0.034945
563.12	0.021266
565.92	0.012592
568.72	0.0065867
572.87	0.0049186
578.67	0.0052522
585.20	0.0065867
591.42	0.0085885
597.32	0.010590
601.16	0.012592
605.51	0.014260
611.00	0.017596
616.39	0.021600
623.03	0.028206
626.86	0.034611
630.59	0.042618
634.63	0.049624
638.16	0.056631
640.64	0.060968
643.10	0.061895
644.69	0.057811
648.31	0.059490
651.73	0.063303
654.32	0.068641
657.74	0.075981
660.02	0.085322
661.79	0.094998
664.48	0.10401
667.88	0.11268
670.49	0.11401
672.88	0.11168
675.57	0.11034
677.44	0.11001
678.89	0.11535
681.58	0.13236
683.86	0.15472
686.04	0.18441
689.04	0.22745
691.43	0.27115
692.98	0.29818
694.22	0.31185
696.09	0.32186
698.00	0.32787
699.92	0.32186
701.17	0.30418
704.38	0.22878
708.11	0.13837
710.70	0.080318
711.80	0.061301
712.88	0.045621
714.33	0.030608
716.51	0.021266
719.10	0.013926
722.52	0.0089606
725.63	0.0059195
728.94	0.0037498
732.98	0.0025832
737.55	0.0018244
742.21	0.0012487
746.32	0.0012487
749.50	0.0012487
