Wavelength (nm)	CHL170_Purpurin 18 ME, CHCl3 (Ma, 1996).abs
350.26	0.33110
351.67	0.34186
353.20	0.35594
354.26	0.36753
355.32	0.37829
356.74	0.38905
358.50	0.39733
360.04	0.40064
361.57	0.39899
363.57	0.39319
364.99	0.38491
366.05	0.37581
367.70	0.36753
369.35	0.36173
370.76	0.35925
372.88	0.35925
375.00	0.36173
377.24	0.36670
379.13	0.37581
381.01	0.38657
382.54	0.39816
384.43	0.41472
387.26	0.44701
389.61	0.47847
392.09	0.52069
394.44	0.56954
397.04	0.63411
399.98	0.71111
401.99	0.76658
403.64	0.81294
405.28	0.86344
406.46	0.89904
407.64	0.92885
408.59	0.95451
409.41	0.97604
410.47	0.99011
412.00	1.0000
413.06	0.99011
414.12	0.97687
415.30	0.95286
416.48	0.91560
418.05	0.85434
419.43	0.79224
420.96	0.73512
421.90	0.68958
422.84	0.64488
424.61	0.57285
427.09	0.45860
429.44	0.36504
431.21	0.29798
432.98	0.24997
434.75	0.20526
436.28	0.16552
437.69	0.13654
439.46	0.10839
442.29	0.086041
444.17	0.074450
446.88	0.062031
449.71	0.053752
451.83	0.049613
454.42	0.045473
457.72	0.042162
461.02	0.037194
465.03	0.037194
467.74	0.039678
470.92	0.043817
473.87	0.047129
476.11	0.048785
479.05	0.052096
481.88	0.052096
484.36	0.051269
487.42	0.048785
490.48	0.046301
494.02	0.044645
497.44	0.045473
500.26	0.052096
502.86	0.058720
505.10	0.063687
506.98	0.068655
509.22	0.071138
511.11	0.072794
513.58	0.068655
516.29	0.062859
519.12	0.055408
521.24	0.047957
523.60	0.042989
526.42	0.043817
529.27	0.043679
531.53	0.046439
533.40	0.051958
534.97	0.061617
536.34	0.070586
538.40	0.087834
540.27	0.10922
541.55	0.12854
542.92	0.14648
544.10	0.16718
545.38	0.18787
546.26	0.20167
547.54	0.21133
549.01	0.21478
550.29	0.20857
551.37	0.19822
552.55	0.18235
554.02	0.16028
555.29	0.14027
556.67	0.12026
558.34	0.098183
559.71	0.082315
561.09	0.072656
563.15	0.060927
565.41	0.050579
567.18	0.044369
568.85	0.035400
571.20	0.031261
573.85	0.028501
578.08	0.028501
582.69	0.028501
587.60	0.027811
591.73	0.031261
595.56	0.032641
599.19	0.032641
604.00	0.032641
609.30	0.032641
613.53	0.034020
617.06	0.036090
621.28	0.038160
624.23	0.042300
626.69	0.046439
629.04	0.051958
630.91	0.056788
632.97	0.063687
634.93	0.071966
636.70	0.077486
639.06	0.080245
641.71	0.085075
644.07	0.086454
646.33	0.087144
648.98	0.087834
651.53	0.086454
653.98	0.085075
656.54	0.081625
658.89	0.079555
662.04	0.079555
665.67	0.078865
668.91	0.078865
671.66	0.081625
674.31	0.085765
676.18	0.089904
678.34	0.10163
680.01	0.11267
681.87	0.12371
683.15	0.13682
684.62	0.15338
685.80	0.17338
687.37	0.19684
689.43	0.23341
691.40	0.27618
692.97	0.30654
694.34	0.33552
695.57	0.35828
697.00	0.38243
698.12	0.40244
699.55	0.41348
700.83	0.41969
702.00	0.42245
703.48	0.41831
704.66	0.40934
706.03	0.39416
707.01	0.37898
708.29	0.35759
709.86	0.32586
711.92	0.28377
713.49	0.24652
715.26	0.20857
716.93	0.17407
717.91	0.15269
719.29	0.12992
720.66	0.10784
721.84	0.086454
723.80	0.067137
725.67	0.051958
727.44	0.040920
729.60	0.029191
732.25	0.020402
734.31	0.015332
738.35	0.011943
743.64	0.0098732
747.86	0.0078035
754.25	0.0057337
759.35	0.0043539
772.12	0.0029740
783.41	0.0029740
805.21	0.0029740
