Wavelength (nm)	CHL173_13(1)-OH Phebide a ME, Et2O (Holt, 1959).abs
353.75	0.22721
358.10	0.25099
361.83	0.28228
365.66	0.31106
369.31	0.34610
372.78	0.39616
375.91	0.45561
378.95	0.52757
382.43	0.63519
386.43	0.76847
389.99	0.87110
391.95	0.93179
393.21	0.96746
394.77	0.99374
396.00	1.00000
397.29	0.99499
398.34	0.97372
400.68	0.92553
403.46	0.85545
407.55	0.73218
410.94	0.60265
413.98	0.45811
416.33	0.34172
418.32	0.26663
420.15	0.21157
422.06	0.17027
423.97	0.13711
425.80	0.10957
427.97	0.086421
431.01	0.066398
434.40	0.048251
438.05	0.035737
441.62	0.029479
446.92	0.025099
454.91	0.022596
463.08	0.023003
470.73	0.024473
476.12	0.027130
479.07	0.032320
481.86	0.041994
484.52	0.054404
487.06	0.065355
489.37	0.075784
491.84	0.084648
494.08	0.089341
496.40	0.092991
498.93	0.097163
500.82	0.097854
502.77	0.093513
504.58	0.083084
506.47	0.069526
508.57	0.054404
511.25	0.041368
513.71	0.031461
516.82	0.026246
520.30	0.021032
523.49	0.017382
527.11	0.013731
531.02	0.010387
535.22	0.0095599
538.98	0.010071
542.68	0.010603
546.59	0.012689
549.85	0.014253
553.18	0.012689
557.53	0.011124
562.31	0.0085211
566.72	0.0079956
572.88	0.0077166
578.60	0.0074741
582.95	0.0097040
587.15	0.017903
590.84	0.026246
594.03	0.031982
597.94	0.035387
600.91	0.033546
603.81	0.026246
607.06	0.019467
610.32	0.013731
613.73	0.010603
617.06	0.0095599
620.68	0.011124
623.87	0.013731
627.20	0.016339
630.39	0.020510
633.28	0.028853
635.82	0.038239
638.57	0.055969
640.16	0.072134
641.54	0.089341
643.13	0.11281
644.94	0.15139
647.38	0.20458
649.08	0.24578
651.10	0.28749
652.48	0.30470
654.00	0.30887
655.30	0.30313
656.39	0.28593
657.83	0.23743
659.28	0.18477
660.95	0.13627
662.61	0.094556
664.14	0.067441
666.02	0.046061
667.76	0.031982
670.22	0.021032
672.46	0.011124
675.00	0.0048668
