Wavelength (nm)	CHL174_13(1)-OH Phe a, Et2O (Shkuropatov, 1999).abs
350.72	0.19479
355.65	0.22222
359.84	0.24872
363.38	0.27708
367.35	0.31753
370.68	0.35937
373.90	0.41841
377.44	0.49326
381.52	0.61274
386.00	0.76430
388.40	0.85170
389.67	0.89447
391.39	0.94142
393.64	0.98420
394.61	0.99675
396.00	1.0000
396.97	0.99675
398.47	0.98001
400.40	0.94514
403.09	0.86751
405.98	0.77453
410.06	0.60391
413.82	0.41934
416.71	0.30451
418.88	0.22966
420.79	0.17713
422.72	0.13622
424.76	0.10507
427.23	0.078103
430.45	0.057648
433.46	0.042771
437.64	0.031613
442.04	0.023853
445.90	0.022183
450.41	0.020456
454.38	0.020516
458.14	0.019991
463.61	0.019758
467.37	0.021153
472.41	0.023942
476.06	0.026267
478.96	0.031148
481.32	0.038122
483.46	0.052069
485.29	0.064621
486.90	0.076709
488.61	0.084844
490.65	0.091353
492.37	0.092748
494.73	0.093445
497.20	0.096235
499.13	0.098256
500.42	0.097164
502.24	0.088331
504.50	0.070665
506.54	0.053696
508.36	0.043003
509.97	0.034403
512.33	0.025802
514.69	0.020223
518.55	0.015574
523.17	0.013715
527.35	0.012785
531.97	0.0099954
535.30	0.0087903
539.37	0.0079033
543.56	0.0092980
546.78	0.010925
550.32	0.011390
554.29	0.0099954
558.58	0.0084457
562.79	0.0074772
566.99	0.0067023
570.66	0.0065086
575.22	0.0061212
579.60	0.0068960
584.16	0.0090268
588.00	0.013482
590.69	0.018325
593.19	0.022780
595.25	0.025879
597.22	0.028010
599.63	0.027623
602.94	0.025492
605.62	0.022974
608.75	0.020068
611.97	0.017356
614.65	0.016581
618.23	0.017550
621.54	0.019681
624.31	0.020456
627.89	0.020262
630.57	0.020649
633.08	0.023749
634.77	0.028591
636.56	0.035565
638.62	0.047381
640.59	0.065009
643.00	0.096583
645.24	0.13494
647.29	0.18395
649.26	0.25019
650.69	0.29165
651.58	0.31799
652.40	0.33736
653.20	0.34763
654.00	0.35170
654.99	0.34782
655.70	0.33891
657.04	0.30521
658.90	0.23741
660.70	0.17465
662.23	0.12680
663.57	0.094452
664.91	0.068689
666.16	0.051643
667.42	0.040408
669.03	0.029754
670.75	0.022005
673.50	0.013870
676.45	0.0090268
679.67	0.0053464
682.98	0.0037967
687.18	0.0026344
691.65	0.0020152
696.75	0.0018596
699.75	0.0018596
