Wavelength (nm)	CHL175_15(1)-OH-lactone Phe a, Et2O (Gandul-Rojas, 2013).abs
358.63	0.26485
362.75	0.27136
366.15	0.28911
367.94	0.30628
370.63	0.31219
372.60	0.35125
375.20	0.42878
380.66	0.53057
384.78	0.61698
388.02	0.68918
392.00	0.78920
395.00	0.88448
397.67	0.95905
399.10	0.99462
400.00	1.0000
401.82	0.99692
403.22	0.96970
406.21	0.86438
408.91	0.75780
413.26	0.54327
416.21	0.40107
418.48	0.31147
420.38	0.24119
421.60	0.21448
424.08	0.14091
425.95	0.089952
427.82	0.063238
430.05	0.043922
432.55	0.031593
435.65	0.021729
439.01	0.014742
444.36	0.0065226
450.70	0.0015908
455.42	0.0015908
459.28	0.0015908
463.13	0.0032348
467.86	0.0052897
472.84	0.011043
476.10	0.021729
479.04	0.033647
481.91	0.055019
484.40	0.069403
486.89	0.078034
488.63	0.084609
491.74	0.094062
493.85	0.096528
495.84	0.098172
498.21	0.094884
500.85	0.082143
503.30	0.070225
506.66	0.052964
509.52	0.036935
512.88	0.027072
514.87	0.023373
517.73	0.020496
520.72	0.024606
524.07	0.030360
527.18	0.039812
530.17	0.050498
531.78	0.055840
534.15	0.058306
537.01	0.054608
539.90	0.043922
542.23	0.029127
544.97	0.019263
547.58	0.013509
551.81	0.0098105
555.04	0.0061116
558.27	0.0040567
561.38	0.0032348
563.75	0.0024128
567.23	0.0048787
570.46	0.0028238
573.45	0.00076886
577.05	0.0024128
579.79	0.0024128
582.28	0.0011798
586.50	0.0015908
589.36	0.0020018
593.97	0.0036457
597.08	0.0073446
600.68	0.013920
602.30	0.021729
604.04	0.027483
606.78	0.034058
610.38	0.038990
613.49	0.040223
616.10	0.041045
618.59	0.037757
622.32	0.029127
624.68	0.022962
627.42	0.018441
630.53	0.018441
634.38	0.022140
638.49	0.031182
641.35	0.038990
644.21	0.047210
647.07	0.060361
650.37	0.084198
653.41	0.11256
655.90	0.14708
658.76	0.19146
660.75	0.22845
662.21	0.26051
663.95	0.29709
665.10	0.31805
667.22	0.34024
669.00	0.34476
671.07	0.34024
672.69	0.32380
675.42	0.27777
679.53	0.19763
683.51	0.14091
687.12	0.098994
691.47	0.064882
695.07	0.047210
699.38	0.034058
703.41	0.026661
708.63	0.018852
713.98	0.014331
718.33	0.011043
724.05	0.0085775
728.40	0.0065226
734.00	0.0045290
739.22	0.0036457
744.07	0.0030023
749.50	0.0028238
