Wavelength (nm)	CHL177_13(2),17(3)-Cyclo PyroChllide a enol, DCM (Isenring, 1975).abs
300.96	0.33045
302.62	0.31250
305.08	0.29928
307.41	0.29055
309.84	0.28806
312.52	0.28993
315.37	0.29866
318.40	0.30988
320.74	0.32297
323.94	0.33856
327.05	0.35975
329.82	0.38157
333.11	0.41399
336.14	0.45077
339.00	0.49254
342.89	0.55426
346.78	0.62283
349.55	0.68143
352.66	0.75687
355.10	0.83043
357.25	0.90524
359.20	0.96446
360.62	0.99376
362.00	1.00000
363.22	0.99314
364.70	0.96820
366.40	0.91334
368.93	0.82295
371.87	0.71073
373.69	0.65400
375.50	0.60725
377.50	0.57109
380.00	0.53867
382.08	0.52745
384.59	0.51997
386.92	0.51623
389.35	0.51935
392.03	0.52683
395.06	0.54054
398.26	0.56673
401.55	0.59852
405.01	0.64091
408.38	0.68767
411.67	0.74253
414.78	0.79614
417.64	0.83230
419.80	0.86035
422.31	0.88030
425.43	0.89028
428.19	0.89402
430.88	0.90088
433.56	0.91023
435.55	0.92083
437.71	0.93142
439.00	0.93579
440.91	0.93142
442.38	0.91771
444.37	0.88841
447.49	0.82233
449.82	0.76061
453.03	0.68580
455.79	0.64465
458.13	0.62221
460.12	0.61785
461.85	0.61972
463.58	0.63218
465.92	0.65463
468.17	0.67208
470.16	0.67645
471.89	0.66834
473.62	0.64403
475.78	0.60538
477.94	0.53805
482.27	0.37534
484.35	0.27995
486.94	0.19642
489.36	0.13595
491.27	0.095424
494.21	0.059890
496.89	0.038070
500.20	0.020614
503.90	0.011694
506.00	0.0092877
509.87	0.0081462
514.89	0.0068994
520.00	0.0056899
526.05	0.0044057
533.14	0.0037823
541.97	0.0037823
546.81	0.0044057
550.88	0.0062760
554.25	0.0087696
558.41	0.011263
562.13	0.013757
566.63	0.015004
571.64	0.017497
576.66	0.021861
581.85	0.024685
586.52	0.029872
591.63	0.037447
596.65	0.047421
602.88	0.061136
609.11	0.072981
614.64	0.089190
620.44	0.10540
626.93	0.12223
632.81	0.13969
639.47	0.15871
645.96	0.18644
650.72	0.21387
654.44	0.24255
658.77	0.27559
663.44	0.31549
667.80	0.35289
672.25	0.39217
675.45	0.41960
678.49	0.44329
680.66	0.45950
683.95	0.47633
686.28	0.48319
688.00	0.48568
689.92	0.48132
692.17	0.46885
694.30	0.45077
696.60	0.42396
699.78	0.38095
703.59	0.32484
708.17	0.26188
712.40	0.21512
717.50	0.17023
723.34	0.12722
729.54	0.093554
735.51	0.069241
743.70	0.049915
749.61	0.037620
755.84	0.026849
760.52	0.018744
765.01	0.012510
768.99	0.010640
772.11	0.0093930
775.57	0.0075228
