Wavelength (nm)	CHL180_13(2)-Oxo Phe a, MeOH (Talbot, 1999).abs
351.96	0.49685
356.00	0.52487
359.85	0.56316
363.73	0.60554
367.32	0.64588
370.52	0.69100
374.32	0.76004
377.55	0.84481
380.29	0.91864
382.50	0.96992
384.41	0.99658
386.00	1.00000
387.61	0.99453
389.78	0.96992
391.38	0.93915
394.00	0.88036
397.25	0.82977
399.94	0.80995
402.23	0.80106
403.94	0.79764
406.91	0.80379
409.31	0.81337
411.94	0.82157
415.60	0.83729
417.54	0.84276
420.05	0.83387
422.34	0.81268
425.65	0.76551
429.19	0.70125
433.42	0.60349
439.36	0.46403
445.19	0.34508
449.98	0.25142
453.75	0.19536
457.18	0.15435
461.18	0.11822
465.41	0.085300
469.75	0.060005
473.30	0.042231
477.52	0.030609
481.40	0.023773
485.51	0.024456
489.40	0.029925
493.51	0.038129
497.17	0.051802
500.60	0.067525
503.57	0.081881
506.31	0.091452
510.76	0.094870
515.45	0.094870
519.79	0.089401
523.67	0.079147
527.67	0.059322
532.36	0.035394
536.70	0.023773
541.50	0.016253
546.98	0.014886
551.32	0.015420
555.21	0.017620
560.69	0.019671
567.20	0.021722
572.80	0.023089
577.60	0.023749
581.48	0.020355
585.48	0.015569
588.91	0.010100
593.36	0.0080493
596.79	0.0073656
600.33	0.0091010
603.87	0.011467
608.67	0.021038
612.21	0.028558
616.21	0.037445
619.30	0.041395
623.30	0.044282
626.61	0.043598
631.18	0.041547
634.95	0.038813
639.41	0.040180
642.83	0.045649
645.80	0.052185
649.23	0.058638
652.54	0.065474
654.60	0.074361
657.25	0.10102
660.00	0.15024
662.37	0.21040
664.00	0.27056
666.02	0.34440
667.97	0.40387
669.79	0.45309
670.95	0.48249
672.48	0.50801
674.00	0.51485
675.34	0.50744
676.42	0.49479
678.38	0.44876
680.95	0.36787
683.71	0.28811
686.57	0.20892
688.55	0.14683
690.66	0.10011
692.95	0.063082
694.76	0.041433
696.38	0.027761
