Wavelength (nm)	CHL182_13(2)-Oxo PyroPhebide a ME enolate, DCM (Kozyrev, 1998).abs
343.43	0.62457
354.12	0.69734
361.08	0.74223
367.24	0.77488
372.90	0.80684
378.73	0.83841
384.72	0.87942
389.90	0.91634
394.27	0.95171
398.48	0.97891
403.66	0.99657
407.00	1.00000
409.70	0.98911
411.80	0.95987
414.45	0.87962
416.75	0.80344
420.55	0.69666
425.75	0.58785
430.06	0.51167
433.94	0.44026
436.37	0.40354
437.83	0.38449
439.77	0.36341
443.20	0.34913
446.89	0.35797
453.21	0.38857
459.20	0.42530
466.32	0.46976
470.53	0.49190
475.39	0.51487
478.95	0.53344
482.68	0.55520
486.24	0.57349
489.00	0.57968
491.10	0.56948
493.00	0.54138
495.20	0.49807
500.00	0.40217
504.05	0.32804
509.25	0.25595
512.47	0.22398
516.84	0.19610
524.35	0.16413
529.63	0.14849
534.81	0.12741
539.35	0.096123
542.42	0.070959
546.15	0.051235
550.19	0.035593
556.67	0.022671
563.15	0.013829
568.49	0.011789
575.13	0.012111
581.77	0.015869
588.57	0.022267
595.04	0.026751
602.49	0.031730
610.91	0.041034
619.17	0.049875
627.26	0.060077
636.17	0.073679
644.26	0.091362
651.06	0.11041
656.41	0.13353
660.78	0.15869
665.57	0.19814
668.87	0.22534
672.88	0.25119
676.97	0.27091
681.18	0.28860
684.74	0.29744
688.95	0.30288
693.00	0.30424
697.21	0.29827
700.85	0.28724
703.85	0.26887
705.95	0.24847
709.40	0.21854
712.20	0.18862
715.81	0.15461
719.23	0.12605
722.95	0.10020
727.00	0.076400
731.00	0.058036
735.58	0.038993
739.63	0.024031
743.19	0.013829
746.43	0.0070279
