Wavelength (nm)	CHL183_13(1)-Desoxo-13(1),13(2)-dehydro Chl a, Ace (Wasielewski, 1981).abs
341.30	0.32943
345.13	0.34451
347.47	0.36182
349.77	0.38539
351.54	0.41534
354.20	0.46595
356.50	0.52529
358.62	0.59801
361.81	0.70854
363.28	0.75973
364.32	0.78999
366.00	0.82373
367.00	0.82780
368.00	0.82256
369.11	0.80046
371.00	0.71494
372.35	0.63815
374.37	0.53460
377.20	0.42698
379.50	0.36648
381.63	0.33681
384.46	0.30597
387.00	0.28797
388.54	0.27980
392.08	0.26991
395.08	0.27456
400.22	0.28619
404.82	0.30481
411.02	0.33041
416.33	0.35484
421.99	0.39382
427.12	0.45248
432.43	0.53693
436.68	0.63350
440.02	0.72076
443.23	0.84409
445.71	0.93717
447.00	0.97265
448.50	0.99365
450.00	1.00000
451.25	0.99203
452.20	0.97149
454.41	0.84409
456.05	0.72599
457.75	0.62012
461.11	0.43396
464.12	0.32634
467.48	0.24722
471.50	0.18613
476.70	0.13901
484.12	0.095964
489.79	0.070949
495.27	0.055242
500.23	0.044770
511.20	0.033136
519.70	0.027900
525.54	0.024182
532.44	0.021325
540.23	0.019786
548.73	0.018592
554.39	0.015101
560.94	0.010448
565.72	0.0069571
572.27	0.0062579
579.35	0.011029
584.49	0.015683
589.09	0.022664
594.75	0.033136
599.53	0.037208
604.49	0.040117
610.51	0.041280
615.11	0.040412
619.53	0.043025
623.60	0.049424
628.03	0.062223
632.45	0.077930
636.00	0.091310
640.07	0.11167
643.29	0.12971
646.08	0.14134
648.90	0.15065
651.50	0.15356
653.87	0.14983
657.41	0.13494
660.33	0.11991
663.58	0.10343
667.52	0.085977
670.85	0.072403
674.49	0.056890
678.92	0.043801
683.49	0.034105
688.66	0.026349
693.52	0.021501
698.39	0.017622
704.44	0.014229
709.45	0.013200
715.21	0.012520
720.00	0.012520
