Wavelength (nm)	CHL188_BChl c, Pyr (Niedzwiedzki, 2010).ems
599.75	0.0016584
605.32	0.0034173
610.77	0.0051761
615.89	0.0086937
620.09	0.011156
624.86	0.015377
628.50	0.019598
632.70	0.024523
637.14	0.032262
640.77	0.041760
643.95	0.051961
646.23	0.063569
648.05	0.078343
649.75	0.098746
652.14	0.13181
653.73	0.16242
655.66	0.20814
657.25	0.25985
661.05	0.39775
664.80	0.57039
667.95	0.76204
669.75	0.86883
671.20	0.94608
672.30	0.98534
672.99	0.99547
674.00	1.0000
675.25	0.99547
676.07	0.98491
677.25	0.94481
680.34	0.80425
682.95	0.66030
687.25	0.45009
690.00	0.34456
692.89	0.27407
695.48	0.22848
697.25	0.20273
700.52	0.17867
702.30	0.16389
705.02	0.15376
708.57	0.14532
711.57	0.14110
715.52	0.13857
720.70	0.14236
724.80	0.14616
728.89	0.14954
732.02	0.14659
735.57	0.14236
739.80	0.13308
743.20	0.12210
747.30	0.10775
751.25	0.091288
756.16	0.072293
759.16	0.057941
763.39	0.046966
767.34	0.035569
771.57	0.027971
775.93	0.020372
779.89	0.016151
785.07	0.012352
790.66	0.012352
794.07	0.011508
797.48	0.011508
