Wavelength (nm)	CHL190_BChl c [E,E], Et2O (Tamiaki, 2011b).abs
350.14	0.14646
351.35	0.15087
353.11	0.15675
354.66	0.16205
356.35	0.16617
358.24	0.17029
360.21	0.17391
362.30	0.17710
363.93	0.18004
365.62	0.18445
367.59	0.19083
369.90	0.20063
371.81	0.21093
374.23	0.22662
376.54	0.24280
378.23	0.25554
379.75	0.26755
381.50	0.27932
383.47	0.29060
384.93	0.30016
386.34	0.30726
387.80	0.31266
389.55	0.31486
391.24	0.31535
392.93	0.31511
394.28	0.31584
395.74	0.31830
397.32	0.32295
398.67	0.33325
400.02	0.34624
401.71	0.36977
403.46	0.39600
405.32	0.42713
406.78	0.45385
407.57	0.46586
408.64	0.47812
409.65	0.48964
410.72	0.49602
412.30	0.49920
413.82	0.49700
415.11	0.49479
416.30	0.49430
417.42	0.49651
418.66	0.50165
419.45	0.50803
420.41	0.51759
421.42	0.53082
422.30	0.54749
423.23	0.57176
424.08	0.59725
425.40	0.65756
427.42	0.77375
428.60	0.85415
429.30	0.89778
430.15	0.94215
431.05	0.98701
431.50	0.99682
432.05	1.0000
432.55	0.99731
432.95	0.98726
433.95	0.92524
435.21	0.80390
436.62	0.65560
437.52	0.55779
438.93	0.40875
440.23	0.30285
441.75	0.19622
442.50	0.15724
443.17	0.13543
444.17	0.10356
444.95	0.082970
445.80	0.063850
446.64	0.050123
447.43	0.041788
448.33	0.032719
449.57	0.024139
450.87	0.018746
452.27	0.014334
453.85	0.011882
455.54	0.0091860
458.19	0.0072250
461.11	0.0064896
464.21	0.0062358
468.49	0.0059993
474.46	0.0059993
479.41	0.0059993
484.54	0.0062445
489.72	0.0064896
496.87	0.0082055
504.98	0.0083699
509.37	0.0084506
513.99	0.0096763
519.00	0.011147
523.22	0.013353
527.89	0.014579
533.86	0.017520
537.47	0.018501
540.17	0.018746
543.04	0.018991
545.86	0.018746
549.01	0.018256
552.73	0.018501
555.37	0.019236
557.80	0.019797
560.55	0.020646
563.65	0.022668
567.14	0.026100
571.25	0.030512
575.36	0.034680
579.36	0.038847
583.52	0.045220
586.23	0.049878
588.80	0.054502
591.40	0.057477
593.90	0.059846
597.77	0.061154
601.26	0.064095
603.74	0.067772
606.50	0.074391
608.69	0.080764
611.06	0.084931
613.09	0.087383
614.77	0.088363
616.75	0.090190
618.38	0.094491
620.24	0.10037
621.93	0.10675
623.33	0.11214
624.52	0.11361
625.87	0.11214
627.22	0.10797
628.46	0.10283
630.09	0.095227
631.72	0.085667
633.19	0.078803
634.71	0.073410
635.95	0.069488
637.69	0.067037
639.10	0.065857
640.73	0.067037
642.03	0.071694
643.04	0.076597
644.22	0.082970
645.29	0.091060
646.35	0.10160
647.48	0.11435
648.45	0.12881
649.68	0.14965
650.81	0.17759
651.99	0.21657
653.01	0.26314
654.25	0.33374
655.25	0.40409
656.16	0.48278
656.89	0.53205
657.60	0.57348
658.13	0.60093
658.95	0.63574
659.48	0.64971
659.99	0.65878
660.50	0.66197
661.00	0.65829
661.57	0.64971
661.96	0.63549
662.86	0.59309
664.48	0.49209
665.62	0.41904
666.69	0.34747
667.42	0.30163
667.98	0.27246
669.00	0.22588
670.18	0.18029
671.31	0.14156
672.26	0.11337
672.90	0.099149
673.50	0.085912
674.12	0.073410
674.80	0.062134
675.53	0.052819
676.37	0.043995
677.27	0.036150
678.29	0.029287
679.41	0.024139
680.65	0.019727
682.17	0.015314
684.43	0.010790
686.68	0.0078275
688.99	0.0059993
691.35	0.0047737
694.17	0.0037931
697.32	0.0030578
700.19	0.0026813
703.12	0.0023224
705.88	0.0020772
708.00	0.0019850
709.88	0.0018732
715.00	0.0018732
720.00	0.0018732
