Wavelength (nm)	CHL191_BChl c [E,E], THF (Kinoshita, 2019).abs
300.00	0.11724
302.03	0.12107
304.80	0.12921
307.42	0.13639
310.30	0.14500
312.32	0.15027
314.02	0.15697
315.96	0.16463
317.85	0.17325
319.84	0.18522
322.03	0.19671
324.02	0.20867
325.86	0.21873
327.66	0.22687
329.40	0.23500
330.81	0.23931
332.10	0.24314
334.10	0.24679
336.10	0.24841
337.90	0.24668
339.16	0.24314
340.52	0.23692
341.68	0.22830
343.04	0.21729
344.84	0.20245
346.63	0.18857
347.94	0.18187
349.25	0.17564
351.05	0.17421
352.94	0.17325
354.88	0.17421
356.63	0.17660
358.52	0.17899
361.00	0.18187
364.05	0.18378
366.43	0.18378
368.76	0.18665
370.85	0.19240
372.55	0.19671
374.58	0.20676
376.77	0.21921
379.00	0.23596
380.99	0.25128
382.98	0.26708
384.53	0.28192
386.14	0.29389
387.35	0.30538
388.95	0.31495
390.31	0.32500
391.96	0.33075
393.71	0.33601
395.79	0.33889
397.88	0.33936
399.48	0.34224
401.13	0.34750
402.49	0.35516
404.14	0.36857
405.84	0.38580
407.25	0.40495
408.65	0.42649
409.72	0.44516
411.13	0.46670
412.39	0.48681
413.51	0.50452
414.82	0.51984
415.93	0.53133
417.53	0.53899
418.75	0.54186
420.20	0.54234
421.56	0.54426
422.87	0.54809
424.14	0.55718
424.96	0.56915
425.93	0.58399
426.85	0.60170
427.82	0.62372
428.55	0.64766
429.43	0.67686
430.44	0.71755
431.35	0.75585
432.39	0.80276
433.16	0.84202
433.94	0.87888
434.76	0.91335
435.40	0.94016
436.10	0.96936
437.00	0.98946
438.00	1.00000
439.00	0.99186
439.80	0.97079
440.78	0.92244
441.60	0.85877
442.29	0.79750
443.16	0.71899
443.98	0.64766
444.76	0.58016
445.39	0.52032
445.97	0.46575
446.51	0.41213
447.25	0.35373
448.01	0.30298
448.79	0.25367
449.76	0.20484
450.73	0.15984
451.41	0.13064
452.23	0.10527
453.35	0.078463
454.47	0.059314
455.78	0.041601
457.09	0.031070
458.40	0.023410
459.85	0.017665
461.80	0.013357
463.74	0.010963
466.60	0.010006
469.17	0.0090488
471.89	0.0080913
476.55	0.0080913
483.88	0.0085700
490.38	0.0087905
496.06	0.0090488
503.00	0.0094750
511.98	0.010252
521.34	0.011442
531.92	0.015272
537.46	0.017267
547.31	0.020196
555.70	0.022931
564.00	0.023889
570.12	0.022931
575.31	0.027718
580.45	0.035378
585.21	0.042559
588.70	0.045910
591.76	0.049740
594.28	0.054527
597.05	0.060750
599.77	0.066974
602.24	0.073197
605.16	0.078942
607.39	0.082771
609.72	0.088037
612.00	0.090431
615.15	0.090910
618.40	0.088037
620.69	0.087080
622.19	0.088037
623.89	0.091867
625.88	0.10000
627.67	0.10719
629.37	0.11772
630.83	0.12633
632.43	0.13447
633.84	0.14261
635.29	0.14836
637.19	0.15171
638.93	0.15266
640.49	0.14979
642.14	0.14740
643.84	0.14500
645.24	0.14453
646.75	0.14740
648.15	0.15362
649.32	0.16224
650.19	0.17229
651.21	0.18474
652.28	0.20484
653.35	0.23309
654.27	0.26756
655.19	0.31016
656.11	0.36043
657.13	0.42075
657.81	0.46622
658.44	0.52080
659.22	0.58064
659.88	0.62181
660.63	0.65915
661.26	0.68931
662.13	0.71564
663.00	0.72234
663.83	0.71516
664.51	0.69314
665.29	0.65963
666.50	0.58686
667.28	0.53181
668.25	0.46192
668.78	0.41979
669.70	0.35995
670.53	0.30681
671.35	0.25990
672.27	0.21442
673.10	0.17756
674.07	0.14165
675.14	0.11485
676.21	0.088516
677.47	0.067931
678.78	0.053212
680.28	0.035286
682.17	0.025325
683.92	0.017665
685.81	0.012878
688.14	0.0092875
690.86	0.0060515
693.58	0.0044740
697.75	0.0026825
702.12	0.0016887
705.08	0.0012333
707.50	0.00085432
710.00	0.00062343
715.00	0.00043164
720.00	0.00043164
