Wavelength (nm)	CHL194_BChl d, Pyr (Niedzwiedzki, 2010).abs
351.70	0.18776
356.08	0.19555
359.89	0.20391
362.94	0.21084
366.46	0.21545
370.08	0.22151
373.32	0.23045
376.08	0.24055
379.23	0.25583
382.27	0.27112
384.75	0.28179
387.13	0.29102
389.90	0.29852
392.94	0.30515
395.71	0.31150
397.90	0.32015
399.80	0.32938
401.14	0.34294
403.23	0.36342
405.24	0.39515
407.94	0.44303
410.20	0.48168
412.20	0.51514
413.44	0.52956
414.50	0.53821
416.25	0.54037
417.76	0.53869
419.03	0.53701
420.49	0.53590
422.01	0.54023
423.23	0.54951
424.43	0.56537
426.01	0.59397
428.08	0.64397
430.31	0.71993
432.89	0.83068
434.61	0.91145
435.42	0.95471
436.26	0.98298
437.01	0.99548
438.00	1.00000
438.79	0.99583
439.49	0.97580
440.46	0.91923
441.65	0.80588
443.35	0.61897
445.23	0.43437
446.94	0.28814
448.88	0.16757
449.87	0.12517
451.21	0.091713
452.06	0.073830
452.82	0.059119
453.96	0.045851
455.49	0.034025
457.20	0.025084
459.10	0.019027
461.01	0.014700
463.86	0.010951
467.86	0.0095084
472.24	0.0086431
478.15	0.0080662
483.96	0.0086431
490.62	0.0092200
499.10	0.010295
507.96	0.011239
520.24	0.011816
531.10	0.012052
538.24	0.012681
545.10	0.014412
551.76	0.016431
558.05	0.019027
563.76	0.023065
569.48	0.027391
574.43	0.034160
578.62	0.040258
582.62	0.045614
586.14	0.050466
589.19	0.057100
591.86	0.063734
594.81	0.072099
597.29	0.080464
599.96	0.089117
601.86	0.095462
604.05	0.10123
606.15	0.10238
608.24	0.10008
609.86	0.095462
611.95	0.091424
614.14	0.088251
616.33	0.087098
618.81	0.089405
621.29	0.096039
623.00	0.10354
624.72	0.11277
626.34	0.12171
628.34	0.13007
630.91	0.13642
633.00	0.13860
635.48	0.13829
638.05	0.13959
639.96	0.14450
641.58	0.15401
642.91	0.16901
644.29	0.19007
646.63	0.25670
649.05	0.35996
651.90	0.51860
652.93	0.58321
653.84	0.63484
655.21	0.68993
656.01	0.70452
657.00	0.70810
658.01	0.70455
658.79	0.69079
660.01	0.63368
661.57	0.52667
663.04	0.41591
664.26	0.33313
665.54	0.25468
666.82	0.19209
668.05	0.14594
669.19	0.10931
670.62	0.081329
671.66	0.062581
672.71	0.049312
673.85	0.038640
675.09	0.028545
676.42	0.021046
678.32	0.014989
680.51	0.010085
682.99	0.0057587
685.37	0.0037397
688.13	0.0028744
696.43	0.0028744
704.99	0.0028744
713.12	0.0028744
