Wavelength (nm)	CHL195_BChl d, HPLC (Frigaard, 1996).abs
300.41	0.24766
304.02	0.26360
306.93	0.27994
310.26	0.30106
313.59	0.33015
316.50	0.35884
319.28	0.38555
321.22	0.40189
323.44	0.41783
325.24	0.42739
326.72	0.43018
328.71	0.42659
330.71	0.41702
333.56	0.39151
336.20	0.36919
338.14	0.35644
340.64	0.33969
342.30	0.32933
343.96	0.32614
346.46	0.32973
349.37	0.34208
351.87	0.36081
354.64	0.38313
358.11	0.41341
361.86	0.45287
364.77	0.48077
368.10	0.51066
370.59	0.53166
373.23	0.55250
375.45	0.56486
378.36	0.57840
381.97	0.58876
385.57	0.59992
388.76	0.61108
390.57	0.62184
393.48	0.64575
396.67	0.68720
399.31	0.72785
402.63	0.78285
405.27	0.81951
407.63	0.84422
408.60	0.85219
410.96	0.85658
413.45	0.85777
416.09	0.86175
417.34	0.87092
419.42	0.89364
421.78	0.93269
423.02	0.95103
424.83	0.98371
425.94	0.99805
427.00	1.0000
427.88	0.99726
429.19	0.98091
430.49	0.94106
432.88	0.84062
435.53	0.70032
438.65	0.50622
442.72	0.27624
445.08	0.16703
446.74	0.11283
448.05	0.084527
449.38	0.060612
451.46	0.041479
453.54	0.026731
456.03	0.016366
459.50	0.011979
463.25	0.0099831
468.79	0.0083845
474.90	0.0091767
480.72	0.010368
488.49	0.014746
495.29	0.016733
502.08	0.018721
509.99	0.022301
516.65	0.027079
521.78	0.029865
527.88	0.033048
533.29	0.035834
539.39	0.039416
544.53	0.043019
548.41	0.046583
552.57	0.050964
555.48	0.055744
559.09	0.062916
563.11	0.074837
566.30	0.082041
570.74	0.091204
574.35	0.099173
579.34	0.10714
584.19	0.11351
586.69	0.11750
589.46	0.12547
592.79	0.13901
595.15	0.15177
597.65	0.16771
600.56	0.18205
603.33	0.19481
606.25	0.20357
608.74	0.20676
611.79	0.20835
614.15	0.20675
617.07	0.20117
619.28	0.19639
621.65	0.19001
624.56	0.18124
628.16	0.17167
630.80	0.16848
632.88	0.17326
634.54	0.18083
635.65	0.19518
637.18	0.21630
638.84	0.25895
641.48	0.35141
645.22	0.53355
647.86	0.68540
650.21	0.80617
651.28	0.84762
652.71	0.89664
653.82	0.92087
655.00	0.92691
656.04	0.92148
657.01	0.90620
658.40	0.85678
660.90	0.71090
663.67	0.52915
666.03	0.37052
668.66	0.23660
670.91	0.14772
672.36	0.11065
673.66	0.085144
675.32	0.063221
676.85	0.046879
678.65	0.034522
680.73	0.023361
683.05	0.016982
686.73	0.011000
690.22	0.0078088
693.66	0.0050165
697.79	0.0030408
701.42	0.0021537
704.45	0.0018093
708.61	0.0014514
712.91	0.0014514
716.25	0.0014514
719.50	0.0014514
