Wavelength (nm)	CHL196_BChl d [E,E], THF (Kinoshita, 2019).abs
300.00	0.12947
301.60	0.13856
303.69	0.14670
305.83	0.15341
307.72	0.16011
309.66	0.16634
311.55	0.17304
313.74	0.18214
315.68	0.19219
317.43	0.20081
318.93	0.20991
320.48	0.21470
321.74	0.21805
323.01	0.21662
324.56	0.21374
326.35	0.20656
328.39	0.19842
330.38	0.18932
332.37	0.18070
334.17	0.17113
335.82	0.16251
337.52	0.15580
339.07	0.14956
340.72	0.14670
342.52	0.14670
344.12	0.14814
345.86	0.15293
347.85	0.16059
349.89	0.16873
352.17	0.17831
354.21	0.18884
356.49	0.19746
358.82	0.20512
361.25	0.21183
363.92	0.22140
366.20	0.23050
368.33	0.24008
370.66	0.25157
372.70	0.26354
374.40	0.27120
376.15	0.27743
377.94	0.28365
379.88	0.28700
381.83	0.29179
383.91	0.29419
386.24	0.29658
388.38	0.29658
390.22	0.29706
391.39	0.29993
392.70	0.30664
393.81	0.31526
395.07	0.32962
396.58	0.34542
398.08	0.36841
399.35	0.38996
400.41	0.41486
401.43	0.43497
402.45	0.45652
403.42	0.47615
404.49	0.49482
405.46	0.50871
406.58	0.52020
407.35	0.52499
408.42	0.52834
409.63	0.52499
410.75	0.51924
411.72	0.51302
412.64	0.50344
413.90	0.49530
415.17	0.49386
416.38	0.49530
417.30	0.50105
418.13	0.51158
418.81	0.52355
419.78	0.53935
420.65	0.55611
421.60	0.58484
422.45	0.61645
423.51	0.65811
424.73	0.71126
425.99	0.78692
426.91	0.85204
427.78	0.90854
428.42	0.94350
429.60	0.99042
430.50	1.0000
431.20	0.99347
431.72	0.97749
432.35	0.94062
433.20	0.88029
433.95	0.80032
434.77	0.72131
435.74	0.60783
436.81	0.49817
437.50	0.41055
438.36	0.33297
439.24	0.25588
440.16	0.20081
440.94	0.15245
441.81	0.11989
442.64	0.093074
443.75	0.070569
444.92	0.050936
446.27	0.037050
448.07	0.024600
449.91	0.016460
452.20	0.012150
454.77	0.010235
459.25	0.0078402
463.00	0.0068361
467.00	0.0063540
472.04	0.0061882
476.00	0.0062664
480.54	0.0064036
485.34	0.0070361
490.10	0.0080892
495.00	0.0092523
499.13	0.010023
505.00	0.010562
510.00	0.011311
514.46	0.012415
519.85	0.014065
526.98	0.016460
532.71	0.017859
540.33	0.019332
545.57	0.019886
550.52	0.020590
555.52	0.021973
559.69	0.024160
564.25	0.027473
567.80	0.032261
570.56	0.036801
574.45	0.040881
577.84	0.045190
581.63	0.048063
584.64	0.051894
587.26	0.056682
590.70	0.064344
592.79	0.069132
594.97	0.074878
596.92	0.081582
598.42	0.086829
599.97	0.091638
601.43	0.094371
603.13	0.095468
604.68	0.093553
606.57	0.090201
608.47	0.088243
609.73	0.087328
611.43	0.089722
612.93	0.092595
614.77	0.099299
616.33	0.10552
617.59	0.11319
618.85	0.11702
619.72	0.11941
620.89	0.12085
622.01	0.11941
623.27	0.11558
624.19	0.10983
625.45	0.10313
626.57	0.094511
627.88	0.086370
629.19	0.082540
630.69	0.079666
632.05	0.077751
633.60	0.080624
634.87	0.086849
636.37	0.097384
637.63	0.10792
638.89	0.12324
640.11	0.14144
641.13	0.16298
642.05	0.19172
643.07	0.22907
643.94	0.27408
645.11	0.34016
646.22	0.41917
647.10	0.49051
648.05	0.56617
649.03	0.63512
649.67	0.67343
650.54	0.71461
651.20	0.73233
652.00	0.73903
652.85	0.73185
653.45	0.71653
654.08	0.67295
654.76	0.63177
655.85	0.55228
656.90	0.46753
657.97	0.38852
659.04	0.31286
660.30	0.23721
661.07	0.19555
662.09	0.14958
663.05	0.11414
664.23	0.083976
665.73	0.059555
667.43	0.039923
668.60	0.028910
670.05	0.021727
671.80	0.014544
673.93	0.010023
676.51	0.0058446
679.08	0.0042489
681.99	0.0030052
685.48	0.0020941
688.93	0.0017283
692.00	0.0011364
695.00	0.0011364
700.00	0.0011364
