Wavelength (nm)	CHL197_BChl d [E,E]+[P,M], Et2O (Tamiaki, 2011b).abs
350.02	0.19537
352.22	0.20878
354.53	0.22244
356.95	0.23537
359.48	0.25146
362.24	0.26707
364.66	0.28146
366.18	0.29195
367.98	0.30105
369.79	0.30732
371.31	0.31171
372.77	0.31561
374.74	0.31976
375.98	0.32439
377.39	0.32781
379.19	0.33122
381.44	0.33293
383.52	0.33488
385.27	0.33781
386.45	0.34244
387.80	0.34878
388.65	0.35537
389.72	0.36488
390.84	0.37927
392.03	0.39781
393.27	0.42146
394.50	0.44756
395.63	0.47586
397.04	0.50610
397.66	0.51951
398.45	0.53244
399.29	0.54390
400.30	0.55488
401.15	0.56415
402.05	0.57000
403.23	0.57805
404.75	0.58512
405.93	0.58683
407.00	0.58415
408.19	0.57903
409.03	0.57268
409.88	0.56586
410.61	0.56171
411.79	0.55976
412.52	0.56317
413.37	0.56927
414.10	0.57878
415.06	0.59708
415.84	0.62293
417.20	0.67464
419.39	0.78000
420.63	0.85073
421.67	0.89976
422.20	0.92244
422.77	0.94439
424.12	0.98293
424.80	0.99659
425.53	1.0000
426.20	0.99439
426.80	0.98220
427.25	0.95952
427.89	0.91073
428.40	0.86781
429.25	0.77000
429.80	0.70464
430.93	0.54903
431.95	0.42512
433.36	0.28195
433.81	0.24634
434.31	0.20610
434.82	0.17781
435.72	0.13366
436.20	0.11488
436.85	0.094147
437.58	0.072927
438.20	0.060488
438.87	0.048781
439.83	0.037805
440.73	0.029024
442.20	0.020488
443.77	0.013902
445.70	0.0097561
448.05	0.0075610
450.42	0.0060976
452.61	0.0053659
455.15	0.0045390
458.07	0.0039025
462.02	0.0039025
466.13	0.0039025
469.67	0.0039025
472.66	0.0046342
476.54	0.0058537
480.48	0.0075610
483.64	0.0090244
487.13	0.010000
490.00	0.010976
493.49	0.011220
496.70	0.010976
499.74	0.010976
502.61	0.010732
505.54	0.011220
508.64	0.011707
511.51	0.013415
514.10	0.015366
516.35	0.017561
519.22	0.020488
522.09	0.022927
524.85	0.024390
527.61	0.025366
530.48	0.024634
533.19	0.024146
535.50	0.022927
538.03	0.022195
540.39	0.021220
542.87	0.020488
545.18	0.020488
547.60	0.021463
549.91	0.022439
552.39	0.024634
554.86	0.027805
557.34	0.031951
559.93	0.036098
562.58	0.040244
564.94	0.043415
567.20	0.046342
569.39	0.050000
571.25	0.053903
573.05	0.056829
574.40	0.058293
575.92	0.057561
577.89	0.054878
579.75	0.051464
581.61	0.047073
583.24	0.045122
584.43	0.044634
586.00	0.046829
587.58	0.050488
589.21	0.056586
590.84	0.064147
592.82	0.072683
594.34	0.079269
595.69	0.085610
597.71	0.091952
599.01	0.096830
600.47	0.099756
601.77	0.10195
603.29	0.10171
604.64	0.10146
606.10	0.10341
607.91	0.10585
609.31	0.10878
610.66	0.11098
611.73	0.11000
613.03	0.10659
614.61	0.099513
616.30	0.089512
617.93	0.080976
619.34	0.075122
621.25	0.066829
622.94	0.061951
624.97	0.056098
626.43	0.055122
627.78	0.056342
629.30	0.059268
630.60	0.065366
631.67	0.072195
632.62	0.079269
633.64	0.088049
634.82	0.098537
636.17	0.11366
637.35	0.13049
638.59	0.15146
639.40	0.17756
640.34	0.21439
641.69	0.27342
643.49	0.39390
644.67	0.49147
645.74	0.58854
646.93	0.68122
647.66	0.73366
648.33	0.77269
648.84	0.79366
649.25	0.80366
649.80	0.80634
650.42	0.80354
650.75	0.79366
651.20	0.77244
652.05	0.72512
652.87	0.67000
653.90	0.58829
654.47	0.53976
655.71	0.42634
656.80	0.33781
658.07	0.24805
659.03	0.19951
660.05	0.15707
660.89	0.12342
661.45	0.10585
662.07	0.091220
662.75	0.077317
663.42	0.064634
664.32	0.052439
665.11	0.042683
666.45	0.033171
667.25	0.025854
668.45	0.020244
670.01	0.014878
671.64	0.011463
673.73	0.0082927
676.15	0.0063415
678.96	0.0051220
682.17	0.0042634
685.55	0.0032461
688.40	0.0025300
692.50	0.0016204
695.18	0.0011463
698.95	0.00073171
702.44	0.00048781
705.26	0.00042439
709.82	0.00040732
715.00	0.00040732
720.00	0.00040732
