Wavelength (nm)	CHL197_BChl d [E,E]+[P,M], Et2O (Tamiaki, 2011b).ems
600.11	0.0018598
603.25	0.0021860
606.92	0.0026316
610.64	0.0036606
614.93	0.0046896
619.02	0.0054614
622.84	0.0064904
626.22	0.0078929
629.22	0.011031
631.41	0.015237
633.32	0.020382
634.70	0.026813
636.18	0.036332
637.56	0.048680
638.56	0.063601
639.61	0.079293
640.80	0.10270
641.47	0.12843
642.33	0.17216
643.52	0.24291
644.71	0.32188
646.18	0.46620
647.85	0.64268
649.33	0.78623
650.54	0.89299
651.57	0.96013
652.24	0.99152
652.52	0.99769
653.14	1.0000
653.62	0.99769
653.95	0.99152
655.17	0.94521
656.18	0.87987
657.19	0.78957
658.86	0.65014
660.34	0.51637
661.43	0.44202
663.05	0.35070
664.43	0.28458
665.44	0.24419
666.58	0.21281
667.53	0.19223
668.58	0.17216
669.49	0.15570
670.72	0.13949
671.77	0.12611
672.87	0.11454
674.01	0.10553
675.16	0.097816
676.54	0.091127
677.68	0.086496
679.21	0.083529
680.87	0.082123
683.11	0.081609
685.40	0.082123
687.74	0.081866
689.83	0.080837
691.93	0.080580
693.98	0.080958
695.79	0.082411
697.88	0.084237
700.03	0.087268
702.17	0.092670
704.03	0.097044
705.70	0.10167
706.89	0.10399
708.33	0.10579
709.89	0.10502
711.27	0.10245
712.66	0.099616
714.51	0.095243
716.52	0.090355
718.52	0.085467
721.33	0.079036
723.55	0.073376
725.70	0.066173
728.24	0.057427
730.67	0.048680
732.38	0.041991
734.34	0.035046
736.53	0.029129
738.58	0.024498
741.10	0.020125
743.68	0.017295
746.20	0.015237
748.44	0.013951
751.11	0.012922
754.16	0.011682
757.30	0.010606
760.83	0.0097101
765.10	0.0090320
771.79	0.0078291
779.13	0.0072777
786.13	0.0068725
795.66	0.0067476
800.00	0.0067476
