Wavelength (nm)	CHL198_BChl e, Ace (Gloe, 1975).abs
317.59	0.68704
319.19	0.70535
320.63	0.72195
321.90	0.73984
323.66	0.75431
325.58	0.76794
327.18	0.77944
329.10	0.79008
330.86	0.79732
333.26	0.80328
335.82	0.80711
338.22	0.80413
340.94	0.79647
343.65	0.78880
346.85	0.77859
350.05	0.76751
352.77	0.75602
356.13	0.74239
359.49	0.72493
362.21	0.70790
365.08	0.68917
367.64	0.66873
370.52	0.64659
373.08	0.62913
375.80	0.60997
378.20	0.59549
380.28	0.58399
382.36	0.57377
384.28	0.56568
385.87	0.56100
388.27	0.55845
390.99	0.56143
393.55	0.56739
395.79	0.57633
397.55	0.58697
399.95	0.60273
402.67	0.61678
404.59	0.62615
407.14	0.63424
409.38	0.64148
411.46	0.65084
414.02	0.66575
416.58	0.68959
419.46	0.71301
421.70	0.73813
426.18	0.78114
429.69	0.80967
432.57	0.83649
435.45	0.86204
439.13	0.88929
442.17	0.91399
445.21	0.93571
447.45	0.95359
450.32	0.96934
451.92	0.98127
454.16	0.99234
455.60	0.99787
458.00	1.0000
460.08	0.99830
462.48	0.99106
464.40	0.98042
466.32	0.96381
468.09	0.94124
470.15	0.91144
472.71	0.87695
475.11	0.84075
477.03	0.80924
478.81	0.77433
480.32	0.74069
482.15	0.67980
483.75	0.61210
486.63	0.47882
488.33	0.41197
489.83	0.36641
491.58	0.32383
493.04	0.28976
493.98	0.26677
494.78	0.25187
495.90	0.24037
497.50	0.23271
500.06	0.22589
502.78	0.22121
505.50	0.22121
509.34	0.22377
512.21	0.22845
515.41	0.23356
518.93	0.23782
522.77	0.24378
526.45	0.25102
529.97	0.26124
534.44	0.27614
537.48	0.28721
541.32	0.29956
543.88	0.30637
547.08	0.31276
549.48	0.31744
552.04	0.32127
554.43	0.32255
557.31	0.32468
559.87	0.32766
563.23	0.33405
567.39	0.34214
570.11	0.34853
573.47	0.35619
576.18	0.36215
579.06	0.36683
581.30	0.37194
583.86	0.37620
586.74	0.37791
589.62	0.37535
592.18	0.37067
594.90	0.36343
597.29	0.35364
599.69	0.34342
602.09	0.33022
604.65	0.32085
607.53	0.31105
610.25	0.30467
613.29	0.30126
616.01	0.29658
619.36	0.29445
622.24	0.29530
624.96	0.30084
626.88	0.31105
628.48	0.32851
630.88	0.36598
632.80	0.41538
634.56	0.46009
636.48	0.51076
638.87	0.56909
641.11	0.62615
642.39	0.65681
643.35	0.67171
644.25	0.68321
646.00	0.68704
647.40	0.68235
648.46	0.67086
649.46	0.65042
650.55	0.60954
651.77	0.56611
654.23	0.49713
656.15	0.43624
657.75	0.37535
660.23	0.29658
662.22	0.23228
663.34	0.19822
664.37	0.17309
665.79	0.15010
667.18	0.13009
668.78	0.11476
670.38	0.10113
672.62	0.087509
674.70	0.077289
677.10	0.069199
680.14	0.064090
683.81	0.059832
687.65	0.057703
692.13	0.055574
696.93	0.052593
701.56	0.049612
706.36	0.046206
711.64	0.042374
716.44	0.037690
721.40	0.033858
726.83	0.028322
732.75	0.021935
737.71	0.017251
742.67	0.012993
747.14	0.010013
751.78	0.0078837
756.42	0.0057547
763.30	0.0044772
770.49	0.0036256
776.41	0.0027740
782.01	0.0025817
787.12	0.0025817
