Wavelength (nm)	CHL200_BChl e, HPLC (Frigaard, 1996).abs
301.75	0.23360
305.00	0.26020
306.86	0.27649
308.83	0.28813
311.51	0.30076
314.76	0.30808
317.55	0.30807
320.91	0.30541
323.47	0.30341
326.14	0.30175
329.51	0.30441
332.06	0.30773
334.50	0.31272
336.59	0.31704
339.50	0.32236
341.70	0.32369
344.03	0.32036
346.82	0.31337
350.30	0.29940
355.06	0.27545
360.52	0.24486
367.14	0.21492
373.76	0.19396
379.69	0.17700
386.07	0.16536
389.79	0.15737
392.81	0.14806
395.95	0.13874
399.55	0.12610
403.38	0.11579
407.21	0.10947
409.42	0.10814
412.09	0.11046
415.69	0.11645
417.78	0.12409
420.34	0.13540
422.20	0.15069
424.99	0.17563
427.66	0.20689
430.44	0.25012
433.70	0.30266
436.95	0.34656
439.97	0.37948
444.85	0.43634
447.95	0.48489
450.54	0.54308
453.44	0.61491
456.23	0.70370
459.33	0.80978
461.43	0.87530
463.24	0.92418
464.94	0.96043
466.40	0.98337
467.61	0.99627
469.00	1.00000
470.52	0.99634
472.11	0.98403
473.88	0.95177
476.57	0.88659
479.53	0.79480
482.71	0.68040
486.05	0.55336
489.33	0.44229
492.67	0.34319
495.49	0.27069
498.18	0.21116
501.18	0.16094
503.62	0.12935
505.71	0.10573
507.68	0.087441
510.01	0.071809
512.27	0.058173
514.89	0.048194
517.56	0.040876
521.16	0.035220
524.88	0.032889
529.41	0.032220
534.17	0.034544
538.81	0.038199
544.04	0.041520
548.57	0.045174
552.40	0.049495
556.47	0.051819
561.00	0.052148
566.46	0.051811
571.92	0.051807
576.21	0.053134
579.81	0.056789
582.83	0.061775
585.85	0.067093
589.11	0.075404
591.89	0.083051
594.57	0.088370
596.54	0.093689
600.03	0.099007
602.14	0.10072
604.46	0.10211
607.46	0.10100
609.39	0.098501
611.29	0.096005
614.43	0.092344
617.80	0.088684
620.35	0.086354
622.79	0.086352
625.93	0.088345
628.95	0.092333
630.98	0.097375
632.92	0.10347
634.56	0.11178
636.36	0.12398
638.43	0.13977
640.66	0.16138
642.98	0.19131
645.60	0.22373
648.34	0.25228
651.00	0.27472
652.50	0.28137
654.00	0.28303
655.81	0.28081
657.51	0.27305
659.52	0.25559
663.68	0.21153
666.89	0.17356
669.19	0.14723
672.50	0.11563
676.16	0.082929
678.79	0.065467
681.12	0.053549
683.54	0.043570
685.47	0.036086
688.57	0.026939
692.44	0.019453
696.02	0.015016
699.51	0.012242
703.14	0.0097451
706.57	0.0072484
710.06	0.0053058
714.51	0.0036395
720.32	0.0022492
725.64	0.0016907
731.45	0.0014090
734.72	0.0014090
740.00	0.0014090
749.50	0.0014090
