Wavelength (nm)	CHL201_BChl e [E,E], THF (Kinoshita, 2019).ems
600.39	0.0014378
604.02	0.0015295
607.76	0.0026272
611.23	0.0037252
614.51	0.0053719
617.32	0.0063905
619.79	0.0064696
622.41	0.0075674
624.38	0.0092141
625.50	0.011410
626.62	0.013057
627.97	0.014703
629.43	0.020741
631.01	0.026779
632.59	0.036111
633.94	0.048736
634.98	0.061361
635.91	0.073986
636.87	0.086610
637.95	0.10637
638.96	0.12723
639.69	0.14699
640.77	0.17828
641.92	0.21890
642.97	0.26556
644.01	0.32429
645.47	0.41047
647.09	0.52080
648.36	0.62180
649.56	0.71401
650.45	0.78098
651.27	0.83862
652.07	0.88747
652.72	0.92425
653.38	0.95005
654.00	0.96981
654.46	0.98243
655.04	0.99420
656.00	1.00000
656.46	0.99652
657.30	0.98573
657.77	0.97585
658.81	0.93907
659.70	0.89625
661.17	0.82709
662.36	0.76671
663.71	0.69865
664.95	0.63278
666.06	0.57898
667.03	0.53397
668.30	0.48183
669.57	0.43517
670.92	0.39290
672.16	0.35448
673.93	0.31551
675.51	0.28367
677.17	0.25403
678.52	0.23372
679.91	0.21890
681.53	0.20518
682.91	0.19584
684.11	0.18926
685.46	0.18377
686.93	0.18377
688.78	0.18102
690.55	0.18212
692.44	0.18377
694.25	0.18651
695.79	0.19035
697.45	0.19475
699.15	0.20243
700.92	0.21176
702.43	0.21890
704.28	0.23207
706.36	0.24909
708.25	0.26116
709.83	0.27159
711.60	0.27708
713.42	0.27928
714.80	0.27928
716.96	0.27653
718.82	0.27050
720.70	0.26281
722.59	0.25403
724.91	0.23866
726.95	0.22219
728.92	0.20572
731.23	0.18596
733.24	0.17004
735.32	0.14974
737.59	0.13107
740.25	0.11021
742.84	0.093197
745.30	0.080573
748.43	0.065752
751.05	0.054774
753.37	0.050382
756.03	0.044893
758.73	0.041051
761.46	0.036111
764.01	0.034464
766.28	0.033915
769.56	0.032268
772.41	0.030073
774.88	0.029524
777.62	0.029524
781.24	0.028011
784.99	0.026230
788.57	0.025204
791.93	0.023486
794.66	0.023486
796.71	0.023486
