Wavelength (nm)	CHL204_BChl f [E,E], THF (Kinoshita, 2019).abs
300.00	0.18297
301.13	0.19014
302.54	0.19730
304.14	0.20351
305.60	0.20876
307.00	0.21354
308.41	0.21688
310.01	0.22022
311.86	0.21985
313.46	0.21688
315.16	0.21401
316.86	0.21116
318.94	0.20756
320.40	0.20494
321.95	0.20540
323.50	0.20781
325.15	0.20972
327.14	0.21354
328.60	0.21592
330.25	0.21887
331.90	0.22022
333.70	0.22118
335.30	0.22070
337.29	0.21831
339.28	0.21115
341.02	0.20494
342.67	0.19730
344.28	0.19109
345.88	0.18352
347.38	0.17915
348.98	0.17295
350.34	0.16960
351.94	0.16531
353.74	0.16387
355.39	0.16340
356.85	0.16340
358.54	0.16196
359.95	0.15958
361.70	0.15623
363.88	0.15146
365.58	0.14477
367.57	0.13904
369.37	0.13379
370.97	0.13140
372.38	0.12902
373.93	0.12567
375.58	0.12472
377.33	0.12329
379.07	0.11994
380.58	0.11756
382.28	0.11182
383.83	0.10800
385.04	0.10180
386.40	0.096067
387.76	0.090337
389.12	0.086039
390.53	0.081264
392.03	0.077444
393.24	0.075056
395.19	0.073146
396.93	0.074101
398.82	0.075534
400.38	0.079354
402.46	0.083174
404.36	0.088427
406.06	0.093679
407.80	0.097499
409.74	0.10227
411.54	0.10753
413.24	0.11230
414.79	0.11851
416.30	0.12520
417.70	0.13379
418.82	0.14239
420.18	0.15814
421.44	0.17581
423.48	0.20494
425.03	0.23120
426.39	0.25890
427.65	0.28421
428.87	0.30522
430.13	0.32527
431.20	0.34056
432.17	0.35011
433.14	0.35775
434.35	0.36348
435.51	0.36395
436.53	0.36348
437.70	0.36013
438.81	0.35631
440.03	0.35440
441.44	0.35631
442.75	0.36300
443.96	0.37685
445.12	0.39547
446.39	0.42651
447.70	0.46614
448.76	0.51055
450.07	0.56929
451.29	0.63375
452.45	0.70251
453.55	0.77175
454.73	0.84290
455.85	0.90020
457.01	0.94987
458.08	0.97899
458.90	0.99380
459.65	1.0000
460.46	0.99380
461.14	0.98090
461.96	0.95894
462.75	0.92790
464.00	0.87060
465.22	0.80136
466.57	0.72448
468.22	0.61369
469.73	0.52344
471.14	0.44752
472.49	0.37398
474.19	0.29758
475.75	0.23932
477.78	0.17151
479.24	0.13475
480.50	0.10753
481.91	0.086994
483.37	0.066461
485.21	0.049748
486.96	0.040675
488.90	0.034945
491.28	0.033208
496.00	0.032080
500.30	0.032080
505.84	0.031125
511.37	0.030169
517.05	0.030411
521.12	0.030647
523.89	0.031602
526.61	0.033035
530.93	0.037332
535.83	0.039720
540.29	0.042107
543.50	0.045164
548.64	0.045629
551.70	0.043462
556.94	0.042850
562.71	0.043952
565.58	0.044972
568.49	0.047838
571.74	0.053090
574.94	0.057865
577.61	0.062641
580.09	0.068848
582.27	0.075534
584.21	0.081264
586.01	0.084606
587.56	0.086516
589.16	0.088400
591.64	0.086039
594.07	0.081741
595.86	0.076011
597.61	0.068848
599.79	0.061208
601.73	0.055955
603.43	0.052613
605.42	0.050225
607.41	0.047838
608.96	0.047838
610.71	0.048793
613.14	0.051658
615.47	0.055000
617.31	0.061208
618.96	0.068848
620.56	0.077444
621.97	0.086039
623.48	0.096544
625.03	0.10848
626.97	0.12711
628.52	0.14621
629.74	0.16531
631.00	0.18870
632.16	0.21115
633.04	0.23073
633.96	0.25030
634.83	0.27275
635.80	0.29042
636.80	0.30617
638.00	0.31763
639.00	0.32145
640.00	0.31661
640.90	0.30379
641.72	0.28898
642.45	0.26941
643.32	0.25078
644.34	0.22261
645.22	0.19778
646.53	0.16387
647.69	0.13475
648.81	0.10705
650.12	0.084606
651.14	0.068371
652.40	0.054523
653.95	0.040675
655.55	0.029692
657.30	0.023007
659.00	0.017754
661.04	0.012979
663.51	0.010114
665.70	0.0086814
668.08	0.0072487
673.03	0.0051337
676.28	0.0042285
679.67	0.0029512
682.83	0.0029512
685.00	0.0029512
687.24	0.0029512
690.00	0.0029512
692.05	0.0029512
695.00	0.0029512
700.00	0.0029512
