Wavelength (nm)	CHL204_BChl f [E,E], THF (Kinoshita, 2019).ems
600.00	0.0010779
603.48	0.0010779
606.72	0.0021677
609.61	0.0027128
612.31	0.0038026
614.51	0.0076175
616.59	0.011977
618.25	0.017427
620.06	0.025601
621.37	0.035956
622.72	0.046855
623.96	0.058845
624.96	0.074104
625.96	0.092633
626.96	0.11389
628.20	0.14931
629.39	0.18909
630.16	0.22288
631.13	0.27574
632.05	0.33623
633.17	0.42125
634.30	0.51062
635.14	0.59291
636.10	0.68665
636.91	0.75313
637.49	0.80654
638.07	0.85232
638.61	0.88556
639.03	0.91717
639.69	0.94987
640.23	0.97221
640.73	0.98529
641.15	0.99510
642.00	1.0000
642.70	0.99455
643.27	0.97657
644.08	0.94769
644.86	0.91117
646.09	0.83978
647.13	0.76785
648.09	0.70627
649.37	0.62507
650.33	0.55368
651.18	0.50408
652.30	0.44795
653.42	0.39454
654.57	0.34986
655.85	0.30571
657.12	0.26757
658.31	0.23759
659.55	0.20980
660.94	0.18746
662.36	0.16729
663.67	0.15312
665.22	0.14277
666.87	0.13296
668.57	0.12915
670.65	0.12751
673.08	0.12533
675.43	0.12533
677.75	0.12697
680.41	0.12905
682.72	0.13133
685.23	0.13732
687.16	0.14386
688.85	0.15312
690.63	0.16184
692.13	0.16893
693.67	0.17438
695.33	0.17928
697.14	0.18255
698.88	0.18364
700.46	0.18255
702.27	0.18092
703.78	0.17547
705.40	0.16675
707.21	0.15803
709.10	0.14931
711.18	0.13514
714.07	0.11552
716.54	0.097537
718.82	0.084458
720.94	0.071924
723.33	0.059934
725.99	0.049580
728.07	0.041951
730.34	0.035956
732.54	0.032686
735.05	0.028871
737.86	0.024511
740.52	0.022332
743.60	0.021786
748.89	0.020697
751.75	0.020062
755.14	0.019607
758.11	0.019607
761.39	0.019607
