Wavelength (nm)	CHL205_BChl f [E,M], Et2O (Tamiaki, 2011b).abs
350.14	0.26646
351.88	0.26523
353.80	0.26350
355.54	0.26201
357.00	0.25929
358.41	0.25608
359.99	0.25014
361.96	0.24247
364.44	0.23184
366.24	0.22665
367.87	0.22195
369.73	0.21799
371.59	0.21576
373.45	0.21230
375.30	0.20859
377.05	0.20365
378.23	0.19796
379.53	0.19029
380.93	0.18287
382.17	0.17570
383.69	0.16704
384.93	0.16061
385.89	0.15641
387.02	0.15220
388.54	0.14874
390.11	0.14750
391.80	0.15047
393.15	0.15344
394.39	0.15740
396.08	0.16333
397.71	0.17075
399.46	0.17966
401.66	0.19103
403.68	0.20191
405.99	0.21527
408.02	0.23159
409.76	0.24866
411.45	0.26770
412.92	0.28749
414.16	0.30801
415.56	0.33794
417.08	0.37231
418.77	0.41386
420.24	0.45047
421.93	0.48435
422.94	0.50314
423.90	0.51774
424.80	0.53035
425.53	0.53975
426.32	0.54642
427.39	0.55211
428.23	0.55533
429.13	0.55755
429.92	0.55632
430.82	0.55360
431.67	0.54964
432.91	0.54445
433.47	0.54197
434.37	0.54074
435.44	0.54469
436.23	0.54964
436.96	0.55805
437.75	0.57264
438.82	0.59712
440.06	0.64016
441.63	0.70817
443.55	0.80165
445.01	0.86423
446.31	0.91666
447.14	0.94485
448.11	0.97205
449.23	0.99283
449.85	0.99876
450.70	1.0000
451.60	0.99852
452.22	0.99233
453.29	0.98022
454.58	0.95400
456.10	0.90874
457.40	0.85903
459.71	0.76011
461.79	0.65895
463.54	0.56250
465.73	0.43637
467.14	0.36885
468.60	0.30480
470.91	0.22145
472.26	0.17743
473.39	0.15245
474.63	0.12846
475.53	0.11214
476.60	0.097052
477.78	0.081966
478.91	0.070589
480.03	0.061933
481.22	0.053030
482.85	0.045363
484.59	0.038933
486.23	0.034976
488.37	0.031266
490.90	0.029040
493.55	0.027804
496.19	0.027062
498.61	0.026320
501.77	0.026003
504.02	0.026473
506.55	0.027280
509.09	0.028051
511.90	0.029535
514.38	0.031266
517.14	0.033245
520.24	0.035965
523.39	0.038438
526.54	0.041406
529.75	0.044621
533.30	0.047589
536.17	0.049815
538.87	0.050911
541.58	0.051343
545.12	0.051630
548.78	0.051855
551.88	0.051930
554.81	0.052535
557.45	0.054761
559.76	0.056160
562.35	0.057976
564.77	0.059213
567.36	0.060202
569.73	0.062119
571.76	0.063912
573.78	0.068116
575.87	0.073062
578.01	0.079493
580.15	0.085428
582.12	0.090375
584.26	0.093837
586.57	0.096156
588.65	0.095074
590.28	0.092106
591.75	0.087407
593.72	0.082213
595.74	0.075288
597.94	0.069811
599.97	0.066515
602.11	0.064134
604.36	0.063664
606.39	0.064285
608.24	0.065140
610.05	0.065643
611.79	0.066632
613.42	0.067622
614.83	0.070095
616.13	0.074052
617.31	0.078256
618.27	0.083697
619.45	0.090869
620.57	0.10027
621.81	0.11140
622.94	0.12574
624.18	0.14676
625.47	0.17273
626.66	0.20340
628.52	0.25929
630.32	0.31049
631.39	0.33621
632.62	0.36168
633.58	0.37355
634.37	0.37602
635.10	0.37355
635.83	0.36366
637.78	0.32582
640.56	0.25459
642.25	0.20389
644.39	0.15270
646.65	0.10620
647.66	0.087159
649.01	0.069353
650.36	0.054019
651.66	0.043632
652.85	0.033987
654.70	0.022013
655.99	0.015844
658.02	0.0095008
659.76	0.0060399
661.85	0.0039814
664.38	0.0028307
667.42	0.0023302
670.12	0.0020829
673.28	0.0020829
676.60	0.0020829
679.58	0.0020829
690.00	0.0020829
700.00	0.0020829
