Wavelength (nm)	CHL207_BPhe c, Et2O (Pierson, 1974).abs
359.63	0.31008
362.36	0.33196
365.63	0.37136
368.77	0.41076
371.91	0.45210
375.46	0.49392
376.69	0.51289
377.91	0.52894
379.28	0.54451
381.19	0.56250
383.10	0.57855
385.28	0.59460
387.06	0.60871
388.83	0.62330
390.74	0.63935
392.52	0.65734
393.61	0.67242
394.56	0.68410
396.06	0.70744
397.50	0.73144
399.09	0.76175
400.45	0.79823
401.48	0.83430
402.73	0.87078
403.87	0.89996
405.06	0.92833
406.16	0.95427
406.94	0.97130
407.73	0.98508
408.64	0.99359
410.00	1.0000
411.25	0.99318
412.05	0.98386
412.74	0.96886
413.53	0.94049
414.33	0.90442
415.24	0.85741
415.89	0.80836
416.72	0.75851
417.63	0.71676
418.42	0.66894
419.22	0.62841
419.90	0.59679
420.70	0.56680
421.72	0.53356
422.74	0.50276
423.77	0.47236
424.79	0.44399
425.70	0.41643
427.18	0.38238
427.97	0.35725
429.13	0.31916
430.12	0.28552
431.12	0.25390
431.84	0.22918
432.64	0.20000
433.55	0.17446
434.80	0.14649
435.82	0.12582
436.84	0.10596
437.75	0.089751
438.89	0.075565
440.26	0.061785
441.62	0.053679
443.55	0.045573
445.60	0.038682
448.67	0.034224
451.51	0.031387
454.47	0.029360
457.20	0.028144
459.70	0.027671
462.45	0.027671
464.92	0.028347
466.72	0.029022
469.27	0.030711
471.26	0.031725
473.35	0.034427
475.43	0.036453
478.28	0.037804
481.12	0.038142
483.87	0.038480
487.00	0.038480
489.84	0.038480
492.40	0.039831
494.67	0.040844
496.66	0.044897
498.84	0.048950
500.74	0.055368
502.63	0.061785
504.43	0.067865
506.33	0.073606
508.03	0.077322
510.02	0.082726
511.92	0.086441
513.34	0.088805
514.95	0.091170
516.47	0.088130
517.80	0.083401
519.22	0.077322
520.83	0.070229
522.44	0.063811
523.96	0.058745
525.76	0.055030
527.75	0.052328
529.55	0.050301
531.35	0.049626
533.43	0.051990
535.14	0.054017
536.56	0.058407
538.08	0.063474
539.02	0.068202
539.69	0.073944
540.26	0.082050
540.82	0.091170
541.68	0.10130
542.44	0.11008
543.38	0.12022
544.14	0.12866
544.80	0.13474
546.13	0.13812
547.08	0.13542
548.12	0.12900
549.07	0.12055
549.92	0.11110
550.96	0.10265
552.01	0.093196
552.95	0.084752
554.00	0.076984
554.76	0.070229
556.18	0.062798
557.98	0.056043
559.87	0.049963
561.67	0.044222
563.95	0.039155
566.13	0.034089
568.40	0.030374
570.39	0.026658
572.95	0.024294
575.60	0.022943
578.64	0.021592
580.91	0.021930
583.75	0.022267
585.93	0.022267
588.21	0.022943
590.48	0.024294
592.57	0.026996
594.37	0.029022
596.45	0.032738
598.44	0.036791
600.15	0.041857
602.14	0.046248
604.13	0.050639
606.21	0.053679
608.11	0.055368
610.19	0.056381
612.18	0.055368
614.74	0.053679
616.83	0.050301
618.63	0.047261
620.43	0.042533
622.23	0.038817
623.94	0.035102
625.74	0.031725
627.35	0.029022
629.24	0.028009
631.33	0.027671
633.51	0.028009
636.07	0.029360
638.44	0.031049
640.33	0.033413
642.32	0.036115
644.60	0.040168
646.30	0.045573
648.01	0.055705
649.33	0.064487
650.66	0.077659
652.27	0.095223
653.12	0.10873
654.55	0.13204
655.87	0.15129
657.29	0.17527
658.72	0.20398
660.14	0.22999
661.46	0.26039
662.98	0.30429
664.12	0.35327
665.07	0.40900
666.14	0.46946
666.96	0.48414
668.00	0.49175
668.95	0.48525
669.90	0.47013
671.04	0.42487
672.08	0.36948
673.12	0.31037
674.02	0.26410
675.02	0.21107
675.77	0.17223
676.82	0.14048
677.39	0.12359
678.14	0.10637
678.90	0.091170
679.56	0.080024
680.23	0.067527
681.08	0.057394
682.12	0.048275
683.07	0.040168
684.49	0.031725
686.29	0.025983
688.00	0.021254
690.08	0.017201
692.17	0.013486
694.63	0.011121
697.19	0.0087571
699.37	0.0077438
701.55	0.0070683
704.11	0.0063928
706.76	0.0057173
709.89	0.0050418
713.30	0.0047040
716.52	0.0043662
719.56	0.0040285
724.20	0.0036907
728.75	0.0033530
733.58	0.0030152
738.13	0.0030152
742.40	0.0030152
745.71	0.0030152
749.41	0.0030153
