Wavelength (nm)	CHL212_BPhebide d ME, DCM (Tamiaki, 2003).abs
350.60	0.26986
354.45	0.30007
357.44	0.33229
361.06	0.37883
363.52	0.41061
366.50	0.45155
370.12	0.49989
371.53	0.51533
372.75	0.52875
373.69	0.53726
374.92	0.54643
376.15	0.55381
377.49	0.55986
378.83	0.56523
380.12	0.57104
381.23	0.57843
382.63	0.59163
383.75	0.60774
385.32	0.63057
386.49	0.65518
388.25	0.68651
389.77	0.71604
391.17	0.73842
392.05	0.75431
392.92	0.76505
393.92	0.77512
394.91	0.78317
396.37	0.78944
397.60	0.79481
398.95	0.80063
399.88	0.80756
400.76	0.81517
401.52	0.82904
402.51	0.84873
403.27	0.86843
404.09	0.89282
405.20	0.92302
406.20	0.95637
407.13	0.97874
407.77	0.98926
408.34	0.99709
409.00	1.00000
409.74	0.99709
410.35	0.98971
410.87	0.97650
411.63	0.95346
412.45	0.91944
413.39	0.88521
414.43	0.83441
415.23	0.79660
416.23	0.74267
416.89	0.70709
417.83	0.65138
418.68	0.60304
419.88	0.53658
420.62	0.49049
421.75	0.43097
423.02	0.36809
424.71	0.28082
426.07	0.22063
426.89	0.18796
427.83	0.16178
429.05	0.13314
429.87	0.11703
430.63	0.10562
431.45	0.093533
432.39	0.081674
433.26	0.072499
434.14	0.063549
435.13	0.055493
436.42	0.048109
437.71	0.041620
438.99	0.036026
440.63	0.031103
442.21	0.027299
444.08	0.023943
446.13	0.021258
448.23	0.019244
450.45	0.017901
452.56	0.017454
454.90	0.017230
457.29	0.017964
459.87	0.019244
462.26	0.021481
464.48	0.023943
465.86	0.025194
466.59	0.025509
468.15	0.026871
470.29	0.027244
472.78	0.027989
475.16	0.027803
477.36	0.026871
479.45	0.026498
481.64	0.026871
483.79	0.027803
485.98	0.028734
488.03	0.030039
489.83	0.034325
491.34	0.041219
492.60	0.047742
493.92	0.052586
495.24	0.059854
496.55	0.065817
497.82	0.071407
499.18	0.076252
500.69	0.080725
502.35	0.084079
504.01	0.086315
505.71	0.085569
506.88	0.082961
508.24	0.078675
509.36	0.072712
510.68	0.067308
511.90	0.061345
513.51	0.053518
515.21	0.047555
516.87	0.042524
518.43	0.038238
520.28	0.034884
522.23	0.033579
523.98	0.034325
525.69	0.036934
527.24	0.041778
528.66	0.049791
529.68	0.057431
531.04	0.063394
532.17	0.072339
533.24	0.079047
534.41	0.084824
535.77	0.087060
537.09	0.084824
538.26	0.078488
539.23	0.072525
540.64	0.062276
542.20	0.052773
543.37	0.044387
544.88	0.037679
546.49	0.032648
548.39	0.029852
550.58	0.027616
553.21	0.027803
555.84	0.027616
558.38	0.026312
560.81	0.023703
563.25	0.021281
565.64	0.018485
567.78	0.015877
570.02	0.014386
572.46	0.013081
575.04	0.012522
577.08	0.012336
579.37	0.013081
581.47	0.014199
583.71	0.015318
586.20	0.017740
588.19	0.021094
590.19	0.025939
591.99	0.032461
593.41	0.038611
594.90	0.046437
596.33	0.052959
597.89	0.058736
599.15	0.064699
600.52	0.068612
602.27	0.071035
603.93	0.072339
605.63	0.071407
607.14	0.069544
608.95	0.064326
610.60	0.059481
612.46	0.053332
614.31	0.048114
616.16	0.041965
618.01	0.037306
619.96	0.033952
621.96	0.032215
624.39	0.031530
626.88	0.032089
629.34	0.032834
631.70	0.034544
634.23	0.036977
636.38	0.039915
638.13	0.043269
639.74	0.049419
641.20	0.056313
642.56	0.065444
643.78	0.075507
645.29	0.090601
646.80	0.11017
648.51	0.13831
650.26	0.17390
651.63	0.21787
652.99	0.27303
654.94	0.35148
656.21	0.39565
657.19	0.42602
657.86	0.44167
658.50	0.45397
659.28	0.46366
660.00	0.46571
660.73	0.46310
661.38	0.45528
662.15	0.43888
663.12	0.41205
664.24	0.37701
665.61	0.32353
666.83	0.27210
668.43	0.21005
669.55	0.17352
670.63	0.14278
671.41	0.11799
672.72	0.089855
673.60	0.072898
674.43	0.062276
675.21	0.052400
676.23	0.042338
677.54	0.031716
679.15	0.024076
680.76	0.017926
682.56	0.012895
684.94	0.0080799
687.39	0.0054413
689.82	0.0043232
692.21	0.0034539
695.23	0.0030188
698.30	0.0026718
700.30	0.0025646
702.29	0.0024597
705.17	0.0024597
707.75	0.0024597
712.19	0.0024597
720.00	0.0024597
