Wavelength (nm)	CHL214_BPhebide f ME, DCM (Tamiaki, 2003).abs
350.02	0.15577
352.61	0.15708
354.61	0.15894
356.66	0.15820
358.86	0.15838
361.15	0.15894
363.20	0.16006
365.20	0.16323
366.67	0.16639
368.52	0.17031
369.99	0.17422
371.16	0.17738
372.52	0.17943
373.94	0.17757
375.50	0.17422
377.01	0.16919
378.48	0.16360
379.60	0.15838
381.11	0.15391
382.68	0.15000
384.34	0.14702
386.09	0.14646
387.80	0.14888
389.46	0.15149
391.22	0.15540
392.54	0.15931
393.90	0.16434
395.22	0.16956
396.44	0.17552
397.61	0.18223
398.74	0.19042
399.96	0.20048
401.47	0.22079
403.13	0.24314
404.79	0.27668
406.25	0.30853
407.67	0.34709
409.18	0.37653
410.35	0.39944
411.48	0.41341
412.60	0.42496
413.84	0.43297
415.33	0.43726
417.48	0.44005
419.53	0.44322
421.24	0.44918
422.41	0.45794
423.29	0.46967
424.51	0.48811
425.68	0.51773
427.24	0.58089
428.32	0.63957
429.49	0.71967
430.90	0.83368
432.14	0.91118
432.59	0.93781
433.10	0.96203
433.30	0.97321
433.74	0.98793
434.29	0.99687
435.00	1.0000
435.64	0.99702
436.13	0.98830
436.47	0.97358
437.05	0.95272
438.32	0.89292
439.93	0.79344
441.20	0.71296
442.57	0.64031
444.72	0.55257
447.16	0.46203
450.43	0.34374
454.24	0.21539
456.24	0.15782
457.46	0.12914
458.63	0.10715
459.85	0.089828
461.17	0.074739
462.73	0.059650
463.95	0.050894
465.27	0.043629
466.73	0.037668
468.15	0.033383
469.47	0.029471
471.32	0.027422
473.08	0.026118
475.42	0.025486
477.13	0.025373
478.36	0.026852
481.06	0.027299
483.57	0.028194
486.03	0.029313
488.90	0.030432
491.48	0.031103
494.00	0.031774
496.93	0.033117
499.86	0.033788
503.02	0.035802
506.18	0.038711
509.00	0.042291
512.22	0.047662
514.62	0.052808
516.55	0.057955
518.54	0.062878
520.80	0.066682
522.94	0.068237
525.52	0.069143
527.68	0.068472
530.03	0.066682
532.19	0.063773
534.42	0.061087
536.53	0.057507
538.58	0.054822
540.51	0.052137
542.91	0.050794
545.61	0.050571
548.30	0.050347
550.88	0.050571
553.22	0.051018
555.39	0.051913
557.79	0.053479
559.49	0.054822
561.31	0.056612
563.06	0.056165
565.00	0.053927
566.87	0.050571
568.39	0.044976
569.92	0.040277
571.91	0.036250
573.31	0.032669
574.95	0.029537
576.18	0.027523
578.23	0.025957
580.28	0.027970
582.04	0.030208
584.03	0.035131
585.67	0.040054
587.08	0.045424
588.54	0.049899
590.01	0.053479
591.76	0.057507
592.99	0.059521
594.76	0.060192
596.22	0.059521
598.03	0.058179
599.61	0.055270
601.02	0.050347
602.25	0.045424
603.48	0.041620
604.65	0.037145
606.29	0.032893
607.81	0.028865
609.92	0.025285
611.80	0.022376
613.91	0.020871
616.72	0.020362
619.18	0.021034
621.93	0.021929
624.51	0.023943
626.94	0.026143
629.19	0.029127
631.07	0.032893
633.04	0.039196
634.60	0.046282
636.31	0.056165
637.83	0.066234
639.19	0.078914
639.97	0.087678
640.96	0.099985
641.93	0.11378
642.85	0.13057
643.98	0.15015
644.90	0.17047
645.68	0.18446
646.51	0.19490
647.05	0.20142
647.76	0.20758
649.00	0.21019
650.01	0.20721
650.66	0.20087
651.79	0.18502
653.15	0.16189
654.18	0.14306
655.20	0.12367
655.94	0.10894
657.26	0.087305
658.47	0.070523
659.55	0.058216
660.72	0.046841
662.13	0.037518
663.45	0.029127
664.87	0.023346
666.43	0.017565
668.24	0.013650
670.38	0.010217
673.21	0.0071231
675.46	0.0058179
677.85	0.0045126
680.49	0.0037667
683.17	0.0033570
687.13	0.0030533
690.93	0.0027201
695.72	0.0024594
700.01	0.0022178
703.28	0.0020885
706.70	0.0020885
710.26	0.0020885
715.37	0.0020885
720.00	0.0020885
