Wavelength (nm)	CHL215_Chl c, Et2O (French, 1956).ems
590.90	0.0055585
592.87	0.0068569
594.78	0.0094536
596.56	0.012050
598.41	0.016595
599.81	0.021139
601.40	0.025034
602.99	0.032824
604.26	0.039965
605.28	0.048404
606.49	0.060090
607.57	0.073073
608.66	0.089303
609.61	0.10813
610.63	0.12760
611.58	0.14903
612.28	0.16785
613.05	0.19187
613.87	0.23212
614.64	0.27562
615.59	0.32560
616.42	0.36585
617.43	0.42168
618.52	0.48141
619.35	0.53724
620.37	0.60670
621.38	0.67097
622.34	0.73394
623.18	0.80665
623.88	0.86442
624.38	0.89883
624.81	0.92047
625.18	0.93832
625.66	0.95185
626.14	0.96429
626.67	0.97457
627.25	0.98485
627.99	0.99459
629.00	1.00000
629.74	0.99350
630.49	0.98214
631.12	0.96808
631.65	0.95185
632.29	0.91993
633.14	0.88206
633.83	0.84203
634.68	0.79767
635.58	0.74952
636.59	0.69596
637.33	0.64781
638.28	0.60183
639.24	0.54827
640.09	0.50067
640.88	0.45847
641.52	0.42006
642.37	0.38868
643.06	0.36001
643.96	0.33783
644.91	0.31240
645.71	0.29509
646.45	0.27886
647.25	0.26480
648.04	0.25181
648.78	0.24154
649.47	0.23126
650.38	0.22152
651.38	0.21286
652.28	0.20367
653.35	0.19501
654.41	0.18960
655.79	0.18636
657.06	0.18581
658.33	0.18636
659.71	0.18798
661.04	0.19122
662.26	0.19393
663.48	0.19934
664.80	0.20475
665.97	0.21178
667.35	0.22098
668.78	0.22909
670.26	0.24099
672.07	0.25777
674.03	0.27508
675.78	0.29131
677.06	0.30267
678.64	0.31619
679.97	0.32539
681.03	0.33404
682.20	0.34216
683.26	0.34757
684.48	0.35298
685.70	0.35839
687.08	0.36218
688.46	0.36542
689.68	0.36704
690.84	0.36434
691.90	0.36055
692.70	0.35568
693.60	0.34919
694.40	0.34216
695.30	0.33350
696.31	0.32377
697.21	0.31403
698.37	0.30213
699.44	0.28806
700.87	0.27021
702.19	0.25181
703.68	0.22909
704.79	0.21232
706.01	0.19501
706.91	0.18149
707.87	0.16742
708.61	0.15714
709.46	0.14524
710.36	0.13334
711.05	0.12306
711.90	0.11386
712.75	0.10521
713.65	0.095470
714.55	0.085732
715.72	0.076536
716.94	0.068962
718.26	0.061929
719.75	0.056519
721.45	0.052191
723.30	0.048945
725.32	0.044077
727.23	0.040290
729.24	0.035421
731.05	0.031634
733.11	0.027847
735.24	0.023519
737.15	0.019191
739.27	0.016486
741.49	0.013782
743.67	0.011618
746.22	0.0089126
749.93	0.0069304
753.00	0.0062077
756.08	0.0056667
758.63	0.0051258
761.60	0.0051258
764.14	0.0051450
766.37	0.0051258
768.33	0.0051450
770.24	0.0051258
