Wavelength (nm)	CHL216_Chl c1, Et2O (Jeffrey, 1972).ems
600.82	0.0026184
602.67	0.0038086
604.12	0.0049988
606.07	0.010156
607.30	0.014520
608.75	0.020868
609.76	0.029596
610.88	0.040704
612.16	0.060938
613.50	0.088312
615.07	0.12600
616.24	0.15972
617.80	0.21050
619.31	0.26724
620.26	0.30850
621.43	0.36602
622.16	0.41363
623.05	0.47314
624.11	0.56042
625.12	0.64254
626.15	0.73657
627.14	0.80441
627.92	0.85400
629.03	0.90756
629.92	0.94565
630.93	0.97976
632.05	0.99682
633.00	1.00000
633.89	0.99643
634.84	0.97818
635.62	0.94644
637.02	0.88693
638.25	0.81988
639.36	0.75839
640.31	0.70364
641.88	0.62509
643.38	0.55288
645.00	0.47631
646.40	0.41680
647.68	0.37356
649.47	0.30969
651.20	0.25732
652.49	0.22161
653.77	0.19226
654.89	0.17282
656.01	0.15933
657.40	0.14901
658.74	0.14108
660.75	0.13394
662.65	0.12878
664.72	0.12560
666.73	0.12560
668.35	0.12560
670.25	0.12878
672.04	0.13314
673.60	0.13751
675.33	0.14425
677.29	0.15377
679.19	0.16250
681.76	0.17797
684.21	0.18948
686.67	0.19940
689.63	0.20614
692.20	0.21050
694.00	0.21209
695.77	0.21051
697.45	0.20857
699.24	0.20316
701.03	0.19424
702.98	0.18313
704.93	0.16845
706.61	0.15377
708.51	0.13870
710.07	0.12322
711.69	0.10577
713.03	0.090692
714.32	0.079187
715.82	0.067682
717.06	0.060144
718.90	0.051416
721.08	0.042688
723.25	0.035547
725.82	0.028406
728.28	0.023248
730.40	0.019281
732.81	0.015711
734.82	0.012933
736.77	0.011346
738.39	0.0097596
740.01	0.0093628
