Wavelength (nm)	CHL219_Chl c2, 80Ace (BŸchel, 2020).abs
370.13	0.18791
374.27	0.19204
378.92	0.20032
383.32	0.21149
387.09	0.22059
390.85	0.22845
395.50	0.23507
399.65	0.23714
403.67	0.23962
407.06	0.24583
409.95	0.25700
412.21	0.27272
414.97	0.29795
417.99	0.33394
421.26	0.38069
424.52	0.43034
427.79	0.48370
431.15	0.54079
433.80	0.59995
436.58	0.68062
438.97	0.75426
441.98	0.84652
443.99	0.90981
445.63	0.94829
447.51	0.98056
449.02	0.99503
450.50	1.00000
451.78	0.99545
452.91	0.98428
454.42	0.95863
456.20	0.91726
458.41	0.83990
461.33	0.70420
463.97	0.56686
466.32	0.43282
468.52	0.32401
470.00	0.26072
471.55	0.20818
473.32	0.15440
474.65	0.12337
475.78	0.099790
477.04	0.079932
478.67	0.060488
480.55	0.046422
482.69	0.034425
485.20	0.026151
487.90	0.021187
490.31	0.018773
492.86	0.016906
497.11	0.016260
501.51	0.016360
506.54	0.016705
512.19	0.017394
517.63	0.019118
522.45	0.021531
527.58	0.026703
533.02	0.031874
537.53	0.034221
541.92	0.035666
546.01	0.036011
549.77	0.036357
553.44	0.038079
556.89	0.041527
559.09	0.046066
560.40	0.049991
562.84	0.056121
565.11	0.061293
567.55	0.066177
570.30	0.073072
572.41	0.079105
574.79	0.086000
576.80	0.092033
578.80	0.097779
580.38	0.10094
582.00	0.10266
583.69	0.10151
585.44	0.098928
587.27	0.094618
589.02	0.089447
591.02	0.081403
593.38	0.071060
595.65	0.061867
597.91	0.053823
599.75	0.047503
601.49	0.042906
604.00	0.038597
606.46	0.037160
608.64	0.036586
610.83	0.036586
613.27	0.037447
615.36	0.040320
617.50	0.044055
619.38	0.048364
620.77	0.052961
621.99	0.059856
623.48	0.067326
625.13	0.076232
626.70	0.085425
628.54	0.094618
630.02	0.10065
631.50	0.10266
633.00	0.10066
634.82	0.093182
636.91	0.080828
638.83	0.066751
641.01	0.051812
643.28	0.039171
645.25	0.029403
647.12	0.022508
649.95	0.015901
653.00	0.012019
657.15	0.0091201
662.12	0.0075691
667.79	0.0067073
672.94	0.0058454
677.48	0.0049835
682.63	0.0038379
685.85	0.0029725
689.78	0.0019673
693.62	0.0015360
695.81	0.0015360
699.50	0.0015360
