Wavelength (nm)	CHL221_Chl c2, EtOH (Wang, 2007).abs
350.17	0.19590
351.71	0.19512
353.82	0.19433
356.26	0.19512
358.86	0.19629
361.62	0.19826
364.38	0.20062
367.14	0.20258
369.98	0.20533
372.49	0.20926
374.85	0.21280
377.52	0.21948
380.53	0.22695
382.47	0.23402
385.07	0.24031
388.32	0.24817
391.24	0.25367
393.76	0.25525
396.03	0.25682
399.03	0.25643
401.14	0.25878
403.66	0.26350
405.44	0.27057
406.90	0.27804
408.45	0.28826
410.07	0.30123
411.53	0.31380
412.99	0.32874
414.62	0.34603
416.16	0.36411
417.70	0.38297
419.57	0.40773
421.43	0.43367
422.98	0.45843
424.84	0.49223
426.30	0.52131
427.68	0.55944
429.71	0.61721
431.58	0.67930
433.04	0.73354
434.34	0.78227
435.07	0.81411
436.04	0.85105
436.69	0.87738
437.42	0.89900
438.07	0.91511
438.88	0.93633
439.94	0.96070
440.75	0.97603
441.72	0.98742
442.94	0.99725
444.00	1.0000
445.05	0.99646
446.11	0.98939
446.92	0.98192
447.65	0.97249
448.46	0.96070
449.52	0.94537
450.98	0.91590
452.36	0.88170
453.65	0.84673
454.55	0.82079
455.48	0.78424
456.50	0.75005
457.63	0.70721
458.44	0.66830
459.42	0.63018
460.47	0.58695
461.69	0.53271
462.72	0.48987
463.64	0.44861
464.69	0.39830
465.64	0.35900
466.88	0.31891
468.18	0.27293
469.32	0.23717
470.46	0.20573
471.92	0.17350
473.21	0.14678
474.68	0.12280
475.97	0.10472
477.19	0.089789
478.65	0.075247
479.87	0.065815
481.82	0.053239
483.20	0.044986
484.66	0.038304
486.53	0.032802
488.64	0.027300
490.50	0.023763
493.18	0.020619
496.18	0.018261
499.43	0.016871
503.00	0.015390
507.63	0.015022
512.42	0.015129
516.39	0.015510
520.29	0.016689
523.05	0.018261
525.89	0.020226
528.73	0.023370
531.81	0.026907
535.22	0.030444
537.66	0.032016
541.07	0.033588
543.99	0.034374
547.56	0.034767
550.81	0.036339
553.48	0.038697
556.57	0.042234
559.41	0.045379
561.93	0.048916
564.93	0.052846
567.69	0.058741
570.04	0.064243
572.31	0.070138
574.02	0.075247
575.89	0.081143
577.27	0.084680
578.81	0.087038
580.84	0.088217
582.54	0.086645
584.33	0.083894
585.95	0.079570
587.65	0.074854
589.20	0.069352
591.14	0.062671
592.77	0.057169
594.55	0.052453
596.50	0.047344
598.61	0.043414
601.13	0.039876
603.72	0.038304
606.16	0.037125
608.68	0.037911
611.19	0.040662
613.30	0.044200
615.49	0.049309
617.44	0.055990
618.88	0.063457
620.28	0.070531
621.74	0.079177
623.28	0.087824
624.80	0.097256
626.10	0.10354
627.79	0.11062
629.45	0.11455
631.00	0.11651
632.70	0.11455
634.24	0.10983
635.46	0.10354
636.68	0.095684
637.98	0.085859
639.52	0.076033
641.14	0.065029
643.01	0.053632
644.96	0.043807
646.90	0.035946
648.77	0.029265
650.64	0.024549
652.58	0.019833
654.86	0.015510
657.21	0.011973
660.21	0.0084356
663.46	0.0064705
667.19	0.0045055
671.17	0.0034112
675.15	0.0025404
678.07	0.0021474
680.91	0.0017544
683.59	0.0017544
