Wavelength (nm)	CHL222_Chl c2, Pyr (Niedzwiedzki, 2010).abs
350.10	0.17622
353.17	0.17330
358.48	0.17272
365.16	0.17505
372.04	0.17973
378.53	0.18440
385.02	0.19083
390.52	0.19959
395.24	0.20894
399.76	0.21303
404.09	0.21595
408.42	0.22004
412.54	0.22997
415.69	0.24283
418.25	0.25977
421.39	0.29365
425.32	0.34215
430.04	0.40992
434.37	0.48821
438.30	0.57234
442.61	0.68101
445.97	0.78559
448.53	0.86855
452.06	0.96027
454.62	0.99533
456.00	1.0000
457.37	0.99533
459.40	0.96203
462.29	0.87264
465.63	0.71372
468.38	0.56299
471.92	0.39064
474.85	0.25276
477.23	0.17564
478.80	0.13182
480.77	0.092091
483.13	0.058206
485.29	0.040094
488.45	0.027825
492.57	0.019646
497.68	0.014972
503.38	0.013219
509.45	0.013186
514.78	0.013592
520.79	0.014809
526.66	0.017244
530.89	0.020489
535.40	0.024737
539.77	0.027480
544.41	0.029582
550.28	0.029821
555.20	0.030227
559.84	0.032661
563.93	0.037936
567.67	0.045036
570.62	0.052812
573.70	0.061603
577.22	0.073436
580.07	0.083579
583.10	0.095075
585.40	0.10015
588.00	0.10150
590.00	0.099808
592.24	0.092370
594.75	0.080875
597.70	0.068027
600.35	0.055855
602.48	0.046726
605.56	0.038612
608.40	0.032864
610.56	0.029821
613.06	0.027793
616.14	0.030835
619.35	0.037597
621.48	0.043683
623.99	0.052812
626.95	0.063293
629.60	0.072084
631.95	0.079286
634.00	0.080875
635.94	0.078846
638.21	0.070393
640.83	0.057884
643.22	0.043007
645.95	0.030159
648.45	0.019002
651.64	0.010582
655.96	0.0051396
660.74	0.0034125
667.57	0.0024311
674.17	0.0017586
681.68	0.0015427
688.96	0.0014205
697.83	0.0014205
