Wavelength (nm)	CHL224_Chl c3, Ace (Fawley, 1989).abs
403.81	0.21430
406.56	0.21201
409.61	0.21144
412.21	0.21544
414.50	0.22631
416.79	0.24060
419.24	0.26062
421.68	0.28464
424.28	0.31380
426.42	0.34411
429.02	0.37956
431.15	0.41273
433.45	0.45161
435.43	0.49907
437.42	0.54482
439.86	0.60829
441.85	0.66777
443.22	0.72609
444.60	0.77870
445.67	0.81987
446.74	0.86391
447.96	0.90451
449.18	0.94339
450.40	0.97884
451.22	0.99254
453.00	1.0000
454.68	0.99371
456.36	0.97884
458.50	0.92967
460.33	0.86676
461.71	0.80672
463.08	0.74554
464.46	0.67749
465.83	0.59629
467.66	0.49621
469.19	0.43388
471.03	0.36012
472.55	0.29950
476.07	0.18285
477.75	0.13310
479.43	0.10279
481.11	0.078203
482.64	0.059332
484.47	0.044464
486.61	0.033599
488.90	0.025022
492.41	0.019875
496.21	0.016635
500.15	0.016158
504.99	0.015205
509.83	0.014252
514.79	0.014252
518.99	0.015205
523.32	0.015682
527.27	0.016635
530.96	0.018065
534.91	0.020447
538.60	0.022353
542.93	0.025213
546.49	0.028072
550.82	0.031407
554.77	0.035220
558.90	0.039270
562.83	0.046021
565.69	0.050786
568.66	0.056743
571.42	0.062700
573.86	0.067862
575.77	0.073819
577.57	0.080569
579.38	0.085335
581.29	0.091688
582.77	0.096057
585.00	0.097842
587.23	0.095262
589.03	0.090894
591.37	0.084143
594.02	0.074613
596.03	0.064288
598.26	0.054757
600.38	0.046418
602.72	0.038476
604.94	0.032122
607.70	0.028548
610.25	0.028548
613.11	0.028945
615.34	0.030137
617.89	0.033711
620.12	0.037682
621.92	0.043241
623.93	0.051183
625.74	0.061905
627.33	0.070642
629.03	0.079378
630.62	0.086129
632.00	0.090497
633.59	0.092086
635.07	0.089306
636.56	0.083746
637.83	0.075804
639.00	0.067068
640.38	0.056743
641.54	0.048801
642.92	0.041256
644.30	0.034505
646.00	0.027754
647.59	0.021400
649.50	0.016635
651.52	0.011473
653.74	0.0071044
656.29	0.0043246
659.37	0.0035305
662.87	0.0034420
666.79	0.0033257
671.04	0.0031333
675.70	0.0027362
681.33	0.0027362
687.16	0.0026969
693.84	0.0026969
699.55	0.0026969
