Wavelength (nm)	CHL228_8-Et Chl c3, Ace (Álvarez, 2012).abs

350.00	0.17679
352.31	0.17551
355.86	0.17302
358.46	0.17124
360.95	0.16990
363.13	0.16856
365.21	0.16722
367.50	0.16543
369.68	0.16498
371.96	0.16364
374.14	0.16275
376.74	0.16319
379.03	0.16409
381.83	0.16588
385.05	0.16856
387.65	0.17213
391.08	0.17794
394.19	0.18375
396.27	0.18777
398.35	0.19268
400.63	0.19715
403.23	0.20028
405.93	0.20340
409.04	0.20609
411.43	0.20921
413.20	0.21547
415.17	0.22396
416.94	0.23602
418.91	0.25210
420.57	0.26729
422.55	0.28338
424.31	0.29991
426.18	0.31867
427.85	0.33610
429.61	0.35575
431.07	0.37407
432.52	0.39775
433.87	0.41607
435.32	0.44645
436.14	0.46789
437.33	0.50096
438.54	0.53804
439.89	0.58897
441.04	0.64169
443.11	0.73104
444.36	0.78242
445.45	0.82621
446.33	0.86329
447.23	0.89724
447.79	0.91824
448.31	0.93611
449.03	0.95488
449.76	0.97007
450.59	0.98436
451.51	0.99479
452.55	1.0000
453.59	0.99665
454.28	0.99032
454.96	0.98168
455.79	0.96917
456.72	0.95086
457.55	0.92807
458.80	0.89814
459.94	0.86508
460.98	0.83559
462.33	0.79851
463.58	0.76142
465.13	0.71094
466.48	0.67028
467.63	0.63275
469.19	0.58003
470.48	0.52955
471.89	0.48219
473.86	0.41518
475.52	0.35978
476.98	0.31420
478.12	0.27846
479.26	0.24585
480.51	0.21725
481.55	0.19358
482.69	0.16766
484.56	0.13639
486.12	0.11360
487.03	0.098859
488.35	0.086797
490.06	0.069372
491.83	0.057309
493.59	0.047480
495.36	0.039885
497.13	0.032290
499.41	0.026482
501.80	0.021568
504.09	0.019334
507.20	0.016653
510.42	0.015760
513.54	0.015313
518.00	0.016206
522.06	0.016653
526.21	0.018887
529.64	0.020227
532.75	0.021568
536.39	0.023355
539.30	0.025589
542.31	0.026035
545.01	0.026035
548.33	0.026482
550.93	0.026929
554.57	0.028296
557.46	0.032516
559.36	0.035715
561.09	0.039439
562.91	0.043906
564.64	0.049119
566.11	0.054331
567.93	0.060288
569.84	0.067734
571.22	0.074436
573.12	0.082627
574.92	0.090445
576.65	0.096774
578.49	0.10385
579.42	0.10683
580.74	0.10981
582.09	0.11271
583.08	0.11427
584.50	0.11563
585.94	0.11390
587.58	0.11092
589.16	0.10720
590.70	0.10124
592.25	0.095285
594.07	0.087839
596.32	0.078159
598.23	0.070340
600.13	0.062894
601.60	0.057309
603.59	0.051352
605.58	0.046140
607.58	0.041672
609.22	0.039066
611.38	0.037205
613.29	0.036088
615.37	0.035343
617.36	0.035715
619.35	0.036088
621.51	0.037268
624.00	0.040183
626.00	0.041300
628.52	0.039439
630.69	0.034971
632.68	0.031620
634.84	0.027897
636.75	0.023801
638.74	0.020451
640.90	0.016728
642.80	0.014121
645.06	0.011143
647.22	0.0096536
649.47	0.0077921
652.33	0.0062675
656.74	0.0044413
660.55	0.0036967
665.05	0.0029520
669.55	0.0025797
673.19	0.0025797
700.00	0.0025797
