Wavelength (nm)	CHL227_Chl c3, Et2O (Jeffrey, 1969).abs
389.81	0.17008
393.64	0.17223
397.18	0.17366
399.95	0.17582
402.31	0.17797
404.31	0.18515
406.13	0.19447
407.84	0.20524
409.63	0.21852
411.57	0.23574
413.52	0.25798
415.98	0.28561
418.19	0.31324
420.63	0.34195
422.89	0.36922
425.17	0.39362
426.54	0.41228
428.13	0.43452
429.15	0.45426
430.50	0.49050
431.73	0.53607
433.51	0.61536
435.58	0.72444
437.27	0.82671
438.49	0.88017
439.85	0.92574
441.33	0.95983
442.18	0.98028
442.85	0.99044
443.70	0.99762
444.60	1.0000
445.66	0.99822
446.45	0.99493
447.58	0.98357
449.30	0.93333
451.10	0.83974
453.49	0.68964
455.81	0.55120
458.23	0.40707
459.41	0.33411
461.17	0.24022
463.07	0.16966
464.07	0.14275
465.21	0.11255
466.51	0.088625
467.73	0.071282
469.33	0.056331
470.79	0.044969
472.56	0.035101
474.34	0.026729
476.14	0.020749
478.48	0.014769
481.91	0.011479
485.63	0.0099844
489.41	0.0093864
493.65	0.0090873
501.60	0.0084893
509.73	0.0078913
518.40	0.0084893
527.09	0.0090873
531.69	0.0097850
534.98	0.011529
537.13	0.013202
539.45	0.014021
542.52	0.014519
546.37	0.016762
549.52	0.020500
552.45	0.025483
555.25	0.031214
558.33	0.036447
561.71	0.040932
564.87	0.045916
567.44	0.050401
569.58	0.055883
571.29	0.062112
572.92	0.066846
574.55	0.069837
576.75	0.072183
578.78	0.073076
580.92	0.072328
583.07	0.068840
585.15	0.063607
586.85	0.056132
588.57	0.046414
590.30	0.038939
592.14	0.031713
594.37	0.025732
597.02	0.021746
599.79	0.019503
603.40	0.018506
607.55	0.018257
610.94	0.018008
613.63	0.019752
615.83	0.024486
618.14	0.032211
620.37	0.041929
622.29	0.053142
624.12	0.063607
625.41	0.068342
626.50	0.069587
627.91	0.067843
629.55	0.061365
631.09	0.051148
632.85	0.040683
634.52	0.031962
636.42	0.022991
638.22	0.016513
641.27	0.011078
644.47	0.0080408
647.82	0.0065457
651.56	0.0075424
655.46	0.0090375
660.85	0.011280
664.25	0.011753
667.81	0.011031
671.78	0.0087883
675.55	0.0055051
679.48	0.0025589
682.82	0.0014125
687.13	0.0010800
691.44	0.0010800
695.11	0.0010800
699.50	0.0010800
