Wavelength (nm)	CHL236_PyroPhe c1, 90Ace (Harradine, 1999).abs
351.17	0.19825
359.57	0.21387
366.86	0.23387
373.19	0.25074
379.52	0.26761
385.30	0.28574
389.15	0.30198
392.31	0.32073
396.03	0.34448
399.60	0.37635
403.04	0.41946
406.07	0.45758
409.79	0.50445
412.26	0.54882
415.56	0.61068
418.60	0.68380
421.62	0.76441
424.92	0.85002
426.98	0.90564
429.74	0.96500
431.94	0.99438
434.00	1.00000
436.00	0.99312
438.50	0.97250
442.53	0.89376
446.50	0.77128
449.78	0.63006
452.58	0.47696
455.74	0.31948
458.08	0.23075
460.01	0.18138
462.07	0.13451
463.72	0.10514
466.06	0.083894
468.81	0.061398
472.25	0.042651
476.52	0.032652
480.92	0.026404
485.60	0.022029
490.41	0.020779
494.95	0.020779
498.81	0.022654
504.10	0.027028
507.50	0.030257
513.55	0.040151
517.20	0.046921
521.40	0.055253
525.43	0.065668
528.98	0.072438
532.00	0.075146
534.95	0.073479
538.50	0.067230
541.37	0.059419
544.23	0.052128
546.64	0.044838
549.39	0.038589
552.03	0.033902
555.13	0.032340
557.88	0.033382
560.75	0.035985
563.50	0.041714
566.25	0.050046
568.54	0.055253
571.20	0.061502
574.00	0.063064
576.87	0.061460
580.93	0.052649
582.99	0.047442
586.08	0.044380
589.18	0.046400
591.82	0.052649
594.91	0.056815
598.00	0.058594
601.11	0.056815
604.09	0.052649
606.61	0.046921
609.59	0.039631
612.46	0.030778
615.44	0.024008
619.11	0.015155
623.58	0.0089064
628.16	0.0042196
632.87	0.0021366
637.91	0.00078500
642.04	0.0010951
645.59	0.0010951
649.83	0.00057437
