Wavelength (nm)	CHL239_ProtoChl a, THF (Mizoguchi, 2009).ems
600.08	0.0049723
603.24	0.0079689
605.31	0.013213
606.80	0.020705
608.02	0.027447
609.31	0.041681
610.99	0.060410
612.41	0.082885
613.96	0.11435
615.31	0.15256
616.67	0.19301
617.70	0.23571
618.73	0.28366
619.83	0.32936
620.80	0.39229
622.15	0.49642
624.73	0.69570
627.25	0.89422
628.54	0.97364
629.31	0.99461
629.80	1.0000
630.67	0.99461
631.45	0.97663
632.45	0.91745
633.70	0.82830
635.44	0.68446
637.58	0.50616
638.93	0.40577
640.41	0.32861
641.83	0.25669
643.51	0.20575
645.19	0.16155
646.87	0.13383
648.29	0.11210
650.22	0.094871
652.29	0.081387
654.80	0.071647
657.71	0.068651
660.55	0.070190
663.45	0.072397
666.48	0.076839
669.32	0.082136
671.78	0.088878
674.03	0.094871
676.29	0.10161
678.55	0.10611
680.62	0.10791
682.94	0.10611
685.65	0.10386
689.13	0.098504
693.00	0.087380
696.36	0.072397
698.81	0.060410
701.46	0.049173
703.98	0.037935
706.69	0.027447
709.07	0.019955
711.14	0.013962
713.66	0.0079689
716.11	0.0043857
718.88	0.0027248
721.85	0.0019756
724.63	0.0019756
727.40	0.0019756
730.50	0.0019756
739.47	0.0019756
