Wavelength (nm)	CHL240_8-Vinyl ProtoChl a, Et2O (Houssier, 1969).abs
387.42	0.10055
391.00	0.10115
394.23	0.10660
396.56	0.11387
398.98	0.12598
401.49	0.14173
403.65	0.16111
405.80	0.18171
407.86	0.20472
410.01	0.23138
412.34	0.25621
414.41	0.27983
416.38	0.30419
417.99	0.32026
419.96	0.34161
422.30	0.36584
423.73	0.38462
425.25	0.41066
426.78	0.44700
428.36	0.51423
429.65	0.61720
430.99	0.74319
432.25	0.84434
433.58	0.92187
434.85	0.97456
435.83	0.99576
437.00	1.0000
438.25	0.99576
439.33	0.96911
441.28	0.86735
443.28	0.75288
445.73	0.59237
447.89	0.43731
449.64	0.29194
451.35	0.18595
452.42	0.14113
453.32	0.10357
454.66	0.075712
456.64	0.052695
458.88	0.029073
461.28	0.016959
464.95	0.012128
469.97	0.0087606
474.99	0.0059069
480.01	0.0046558
482.37	0.0041793
488.47	0.0044821
494.29	0.0048456
500.66	0.0052090
504.52	0.0055724
509.00	0.0062992
513.03	0.0075712
516.53	0.0095094
519.85	0.011569
523.17	0.013992
526.84	0.016596
529.53	0.018777
531.77	0.020230
533.83	0.020472
536.35	0.020109
537.51	0.018898
539.13	0.017686
541.46	0.017202
543.79	0.017868
545.58	0.019322
547.46	0.021744
549.53	0.024591
551.05	0.027438
552.75	0.030042
555.08	0.032526
556.70	0.034282
559.30	0.035554
561.36	0.036705
563.24	0.038038
564.32	0.039491
565.22	0.042701
566.47	0.046941
568.18	0.051242
569.43	0.053967
570.78	0.056511
572.03	0.058631
573.29	0.058934
574.81	0.058449
576.33	0.056511
577.95	0.052393
579.74	0.046941
581.98	0.039249
583.15	0.033919
584.94	0.027680
585.75	0.024833
587.00	0.021866
588.71	0.018050
590.77	0.016535
592.92	0.016233
595.25	0.017020
597.41	0.018595
599.47	0.020412
601.26	0.022835
603.32	0.024712
605.56	0.025984
607.81	0.027256
610.14	0.029194
611.75	0.031314
613.19	0.034464
614.79	0.043247
616.28	0.057929
617.64	0.074646
619.02	0.089110
620.20	0.10059
621.15	0.10757
622.00	0.10852
622.96	0.10764
624.06	0.10365
625.80	0.088674
627.35	0.069049
628.93	0.051678
630.59	0.034234
631.69	0.021224
632.53	0.015772
633.72	0.011121
635.76	0.0080678
638.67	0.0053786
641.14	0.0040703
644.26	0.0030527
647.07	0.0022532
650.61	0.0017444
651.79	0.0016155
654.16	0.0015263
655.68	0.0014756
