Wavelength (nm)	CHL241_8-Vinyl ProtoChl a, THF (Mizoguchi, 2009).abs
300.08	0.095403
307.73	0.099328
315.09	0.10457
319.90	0.10653
324.86	0.10191
328.61	0.10387
333.42	0.10912
337.77	0.11569
340.48	0.11897
344.68	0.12027
348.29	0.12092
353.09	0.12025
360.30	0.11891
366.01	0.12020
372.92	0.11886
378.32	0.12148
384.48	0.12278
389.89	0.12737
394.69	0.13262
399.65	0.13589
404.76	0.14114
408.66	0.15166
411.51	0.16614
414.07	0.18522
417.82	0.22997
422.33	0.28592
426.83	0.33528
430.30	0.37552
435.00	0.45968
438.40	0.55183
440.40	0.65189
441.70	0.72957
443.10	0.82963
444.40	0.91982
445.01	0.95865
445.81	0.98590
446.54	0.99681
447.40	1.0000
448.41	0.99516
449.35	0.97418
450.81	0.91359
451.70	0.86252
453.90	0.74006
457.77	0.48659
459.87	0.32990
461.83	0.21535
462.88	0.16004
464.68	0.10671
466.33	0.077081
467.68	0.054694
469.49	0.040863
471.89	0.030322
475.64	0.022409
479.70	0.017788
484.96	0.012815
490.81	0.0098511
496.67	0.0085152
503.58	0.0078341
511.24	0.0084673
518.90	0.010417
528.06	0.016970
536.17	0.022210
542.93	0.026745
548.49	0.027436
554.79	0.023465
557.50	0.022150
560.65	0.023128
567.20	0.033301
571.05	0.040528
574.77	0.050391
578.37	0.061571
581.40	0.065269
584.23	0.062868
587.53	0.052983
590.10	0.040465
592.34	0.032558
595.94	0.023988
599.70	0.020026
603.15	0.020015
608.11	0.023290
613.20	0.035124
616.07	0.042355
618.32	0.052223
621.03	0.066039
624.18	0.082487
626.95	0.093304
629.60	0.096279
631.66	0.093288
632.95	0.085970
633.79	0.079163
637.00	0.046237
639.35	0.028454
641.75	0.017913
644.01	0.010664
647.91	0.0053841
650.46	0.0040590
656.02	0.0020657
663.53	0.0019816
669.84	0.0019816
